id,device_code,uuid,mode,mean,hrv_pnn50,hrv_rmssd,hr_mean,status_basic,status_sliding,response_body,created_at,row_number
4142,6D18B021,9a8fca5a-a5bd-4511-a0ca-5a87085fc9c6,hrv,,15.3846153846,37.859388972,75.41,success,success,"{'HRV': {'HRV_S': {'0': 3777.9831046506}, 'HRV_AI': {'0': 64.4126214168}, 'HRV_Ca': {'0': 0.3393088753}, 'HRV_Cd': {'0': 0.6606911247}, 'HRV_GI': {'0': 64.7058823529}, 'HRV_HF': {'0': None}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 37.5}, 'HRV_SI': {'0': 65.0074635944}, 'HRV_C1a': {'0': 0.3255813953}, 'HRV_C1d': {'0': 0.6744186047}, 'HRV_C2a': {'0': 0.3448298259}, 'HRV_C2d': {'0': 0.6551701741}, 'HRV_CSI': {'0': 1.6164883616}, 'HRV_CVI': {'0': 4.2842301214}, 'HRV_HFn': {'0': None}, 'HRV_HTI': {'0': 1.8571428571}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0}, 'HRV_PIP': {'0': 0.5384615385}, 'HRV_PSS': {'0': 1}, 'HRV_SD1': {'0': 27.2752524084}, 'HRV_SD2': {'0': 44.0901280781}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': None}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.1440376832}, 'HRV_CVNN': {'0': 0.0369247479}, 'HRV_CVSD': {'0': 0.0358203826}, 'HRV_IALS': {'0': 0.625}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': None}, 'HRV_SD1a': {'0': 15.9544807043}, 'HRV_SD1d': {'0': 22.9624198915}, 'HRV_SD2a': {'0': 25.8906987706}, 'HRV_SD2d': {'0': 35.6876885089}, 'HRV_SDNN': {'0': 39.0266181353}, 'HRV_SDSD': {'0': 38.573031873}, 'HRV_TINN': {'0': 120}, 'HRV_IQRNN': {'0': 60}, 'HRV_MCVNN': {'0': 0.0274555556}, 'HRV_MadNN': {'0': 29.652}, 'HRV_RMSSD': {'0': 37.859388972}, 'HRV_SDNNa': {'0': 21.5043453443}, 'HRV_SDNNd': {'0': 30.007364416}, 'HRV_pNN20': {'0': 46.1538461538}, 'HRV_pNN50': {'0': 15.3846153846}, 'HRV_MeanNN': {'0': 1056.9230769231}, 'HRV_SD1SD2': {'0': 0.6186249303}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 1080}, 'HRV_CSI_Modified': {'0': 285.0847156001}}, 'mode': 'hrv', 'uuid': '9a8fca5a-a5bd-4511-a0ca-5a87085fc9c6', 'device': '6D18B021', 'hr_mean': 75.41, 'message': ''}",2021-06-15 04:53:03.612256+00:00,1
4143,6D18B021,9a8fca5a-a5bd-4511-a0ca-5a87085fc9c6,hrv,,0.0,25.1661147842,76.02,success,success,"{'HRV': {'HRV_S': {'0': 1509.4569412624}, 'HRV_AI': {'0': 53.7842020702}, 'HRV_Ca': {'0': 0.5372578241}, 'HRV_Cd': {'0': 0.4627421759}, 'HRV_GI': {'0': 53.8461538462}, 'HRV_HF': {'0': None}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 50}, 'HRV_SI': {'0': 53.9078627568}, 'HRV_C1a': {'0': 0.4210526316}, 'HRV_C1d': {'0': 0.5789473684}, 'HRV_C2a': {'0': 0.5970654628}, 'HRV_C2d': {'0': 0.4029345372}, 'HRV_CSI': {'0': 1.3969759662}, 'HRV_CVI': {'0': 3.8857908388}, 'HRV_HFn': {'0': None}, 'HRV_HTI': {'0': 2.6}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.5}, 'HRV_PIP': {'0': 0.7692307692}, 'HRV_PSS': {'0': 1}, 'HRV_SD1': {'0': 18.5456030891}, 'HRV_SD2': {'0': 25.9077617947}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': None}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.2595622133}, 'HRV_CVNN': {'0': 0.0199534312}, 'HRV_CVSD': {'0': 0.022286069}, 'HRV_IALS': {'0': 0.9}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': None}, 'HRV_SD1a': {'0': 12.0604537831}, 'HRV_SD1d': {'0': 14.1421356237}, 'HRV_SD2a': {'0': 20.0189304349}, 'HRV_SD2d': {'0': 16.4455022865}, 'HRV_SDNN': {'0': 22.532028486}, 'HRV_SDSD': {'0': 26.227443411}, 'HRV_TINN': {'0': 80}, 'HRV_IQRNN': {'0': 20}, 'HRV_MCVNN': {'0': 0.0260105263}, 'HRV_MadNN': {'0': 29.652}, 'HRV_RMSSD': {'0': 25.1661147842}, 'HRV_SDNNa': {'0': 16.5259208701}, 'HRV_SDNNd': {'0': 15.3371207444}, 'HRV_pNN20': {'0': 23.0769230769}, 'HRV_pNN50': {'0': 0}, 'HRV_MeanNN': {'0': 1129.2307692308}, 'HRV_SD1SD2': {'0': 0.7158319285}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 1140}, 'HRV_CSI_Modified': {'0': 144.770082264}}, 'mode': 'hrv', 'uuid': '9a8fca5a-a5bd-4511-a0ca-5a87085fc9c6', 'device': '6D18B021', 'hr_mean': 76.02, 'message': ''}",2021-06-15 04:53:05.838982+00:00,2
4144,6D18B021,9a8fca5a-a5bd-4511-a0ca-5a87085fc9c6,hrv,,0.0,23.0940107676,72.01,success,success,"{'HRV': {'HRV_S': {'0': 1217.5154576687}, 'HRV_AI': {'0': 39.9993274092}, 'HRV_Ca': {'0': 0.5472222222}, 'HRV_Cd': {'0': 0.4527777778}, 'HRV_GI': {'0': 40}, 'HRV_HF': {'0': None}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 57.1428571429}, 'HRV_SI': {'0': 40.0033908093}, 'HRV_C1a': {'0': 0.625}, 'HRV_C1d': {'0': 0.375}, 'HRV_C2a': {'0': 0.5043103448}, 'HRV_C2d': {'0': 0.4956896552}, 'HRV_CSI': {'0': 1.3605380663}, 'HRV_CVI': {'0': 3.7924445937}, 'HRV_HFn': {'0': None}, 'HRV_HTI': {'0': 2.1666666667}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0}, 'HRV_PIP': {'0': 0.6153846154}, 'HRV_PSS': {'0': 1}, 'HRV_SD1': {'0': 16.8774549281}, 'HRV_SD2': {'0': 22.9624198915}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': None}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.2490599833}, 'HRV_CVNN': {'0': 0.0186746266}, 'HRV_CVSD': {'0': 0.0212923504}, 'HRV_IALS': {'0': 0.8571428571}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': None}, 'HRV_SD1a': {'0': 13.4839972493}, 'HRV_SD1d': {'0': 10.4446593573}, 'HRV_SD2a': {'0': 16.3067191951}, 'HRV_SD2d': {'0': 16.1667447671}, 'HRV_SDNN': {'0': 20.2547873417}, 'HRV_SDSD': {'0': 23.8683256576}, 'HRV_TINN': {'0': 80}, 'HRV_IQRNN': {'0': 20}, 'HRV_MCVNN': {'0': 0.0274555556}, 'HRV_MadNN': {'0': 29.652}, 'HRV_RMSSD': {'0': 23.0940107676}, 'HRV_SDNNa': {'0': 14.9620732642}, 'HRV_SDNNd': {'0': 13.609822656}, 'HRV_pNN20': {'0': 23.0769230769}, 'HRV_pNN50': {'0': 0}, 'HRV_MeanNN': {'0': 1084.6153846154}, 'HRV_SD1SD2': {'0': 0.7350033232}, 'HRV_SampEn': {'0': 1.7917594692}, 'HRV_MedianNN': {'0': 1080}, 'HRV_CSI_Modified': {'0': 124.9649854247}}, 'mode': 'hrv', 'uuid': '9a8fca5a-a5bd-4511-a0ca-5a87085fc9c6', 'device': '6D18B021', 'hr_mean': 72.01, 'message': ''}",2021-06-15 04:53:08.044375+00:00,3
4145,6D18B021,9a8fca5a-a5bd-4511-a0ca-5a87085fc9c6,hrv,,15.3846153846,46.1880215352,74.77,success,success,"{'HRV': {'HRV_S': {'0': 5946.0778038917}, 'HRV_AI': {'0': 73.8404369966}, 'HRV_Ca': {'0': 0.089347079}, 'HRV_Cd': {'0': 0.910652921}, 'HRV_GI': {'0': 72.7272727273}, 'HRV_HF': {'0': None}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 33.3333333333}, 'HRV_SI': {'0': 71.6519099601}, 'HRV_C1a': {'0': 0.15625}, 'HRV_C1d': {'0': 0.84375}, 'HRV_C2a': {'0': 0.0673515982}, 'HRV_C2d': {'0': 0.9326484018}, 'HRV_CSI': {'0': 1.8700283388}, 'HRV_CVI': {'0': 4.4812006976}, 'HRV_HFn': {'0': None}, 'HRV_HTI': {'0': 3.25}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0}, 'HRV_PIP': {'0': 0.4615384615}, 'HRV_PSS': {'0': 0.8571428571}, 'HRV_SD1': {'0': 31.8138525193}, 'HRV_SD2': {'0': 59.4928057785}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': None}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.1666372352}, 'HRV_CVNN': {'0': 0.0538090425}, 'HRV_CVSD': {'0': 0.0418719861}, 'HRV_IALS': {'0': 0.5833333333}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': None}, 'HRV_SD1a': {'0': 13.4839972493}, 'HRV_SD1d': {'0': 31.333978072}, 'HRV_SD2a': {'0': 15.4396838823}, 'HRV_SD2d': {'0': 57.4544175935}, 'HRV_SDNN': {'0': 59.3555129965}, 'HRV_SDSD': {'0': 44.9915817042}, 'HRV_TINN': {'0': 220}, 'HRV_IQRNN': {'0': 20}, 'HRV_MCVNN': {'0': 0.0274555556}, 'HRV_MadNN': {'0': 29.652}, 'HRV_RMSSD': {'0': 46.1880215352}, 'HRV_SDNNa': {'0': 14.4948615068}, 'HRV_SDNNd': {'0': 46.2754161668}, 'HRV_pNN20': {'0': 38.4615384615}, 'HRV_pNN50': {'0': 15.3846153846}, 'HRV_MeanNN': {'0': 1103.0769230769}, 'HRV_SD1SD2': {'0': 0.5347512544}, 'HRV_SampEn': {'0': 0.9162907319}, 'HRV_MedianNN': {'0': 1080}, 'HRV_CSI_Modified': {'0': 445.0129310487}}, 'mode': 'hrv', 'uuid': '9a8fca5a-a5bd-4511-a0ca-5a87085fc9c6', 'device': '6D18B021', 'hr_mean': 74.77, 'message': ''}",2021-06-15 04:53:10.303411+00:00,4
4146,6D18B021,9a8fca5a-a5bd-4511-a0ca-5a87085fc9c6,hrv,,8.3333333333,31.333978072,72.65,success,success,"{'HRV': {'HRV_S': {'0': 2691.0186931184}, 'HRV_AI': {'0': 30.3214883815}, 'HRV_Ca': {'0': 0.8856489423}, 'HRV_Cd': {'0': 0.1143510577}, 'HRV_GI': {'0': 30.7692307692}, 'HRV_HF': {'0': None}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 66.6666666667}, 'HRV_SI': {'0': 31.2075846894}, 'HRV_C1a': {'0': 0.7777777778}, 'HRV_C1d': {'0': 0.2222222222}, 'HRV_C2a': {'0': 0.9249108734}, 'HRV_C2d': {'0': 0.0750891266}, 'HRV_CSI': {'0': 1.7320508076}, 'HRV_CVI': {'0': 4.1368868246}, 'HRV_HFn': {'0': None}, 'HRV_HTI': {'0': 2.4}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.5}, 'HRV_PIP': {'0': 0.6666666667}, 'HRV_PSS': {'0': 1}, 'HRV_SD1': {'0': 22.2383779657}, 'HRV_SD2': {'0': 38.5180005145}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': None}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.3303381136}, 'HRV_CVNN': {'0': 0.0293016358}, 'HRV_CVSD': {'0': 0.0261116484}, 'HRV_IALS': {'0': 0.7777777778}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': None}, 'HRV_SD1a': {'0': 20.4939015319}, 'HRV_SD1d': {'0': 10.9544511501}, 'HRV_SD2a': {'0': 37.0436418965}, 'HRV_SD2d': {'0': 10.5548547445}, 'HRV_SDNN': {'0': 35.1619629197}, 'HRV_SDSD': {'0': 31.4498157243}, 'HRV_TINN': {'0': 120}, 'HRV_IQRNN': {'0': 20}, 'HRV_MCVNN': {'0': 0.0124588235}, 'HRV_MadNN': {'0': 14.826}, 'HRV_RMSSD': {'0': 31.333978072}, 'HRV_SDNNa': {'0': 29.9351917061}, 'HRV_SDNNd': {'0': 10.7565086965}, 'HRV_pNN20': {'0': 16.6666666667}, 'HRV_pNN50': {'0': 8.3333333333}, 'HRV_MeanNN': {'0': 1200}, 'HRV_SD1SD2': {'0': 0.5773502692}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 1190}, 'HRV_CSI_Modified': {'0': 266.8605355884}}, 'mode': 'hrv', 'uuid': '9a8fca5a-a5bd-4511-a0ca-5a87085fc9c6', 'device': '6D18B021', 'hr_mean': 72.65, 'message': ''}",2021-06-15 04:53:12.531047+00:00,5
4147,6D18B021,9a8fca5a-a5bd-4511-a0ca-5a87085fc9c6,hrv,,23.0769230769,40.4145188433,69.18,success,success,"{'HRV': {'HRV_S': {'0': 5490.2484169798}, 'HRV_AI': {'0': 37.3893413804}, 'HRV_Ca': {'0': 0.7287501412}, 'HRV_Cd': {'0': 0.2712498588}, 'HRV_GI': {'0': 36.8421052632}, 'HRV_HF': {'0': None}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 55.5555555556}, 'HRV_SI': {'0': 36.2768813324}, 'HRV_C1a': {'0': 0.7346938776}, 'HRV_C1d': {'0': 0.2653061224}, 'HRV_C2a': {'0': 0.7272711243}, 'HRV_C2d': {'0': 0.2727288757}, 'HRV_CSI': {'0': 2.0486966788}, 'HRV_CVI': {'0': 4.4465621054}, 'HRV_HFn': {'0': None}, 'HRV_HTI': {'0': 3.25}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.5}, 'HRV_PIP': {'0': 0.6923076923}, 'HRV_PSS': {'0': 1}, 'HRV_SD1': {'0': 29.2066825064}, 'HRV_SD2': {'0': 59.8356334495}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': None}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.087011377}, 'HRV_CVNN': {'0': 0.0451829183}, 'HRV_CVSD': {'0': 0.0368435305}, 'HRV_IALS': {'0': 0.7777777778}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': None}, 'HRV_SD1a': {'0': 25.5840859627}, 'HRV_SD1d': {'0': 15.3741222957}, 'HRV_SD2a': {'0': 51.0279434242}, 'HRV_SD2d': {'0': 31.2482322732}, 'HRV_SDNN': {'0': 49.5621857509}, 'HRV_SDSD': {'0': 41.3044865125}, 'HRV_TINN': {'0': 160}, 'HRV_IQRNN': {'0': 60}, 'HRV_MCVNN': {'0': 0.0539127273}, 'HRV_MadNN': {'0': 59.304}, 'HRV_RMSSD': {'0': 40.4145188433}, 'HRV_SDNNa': {'0': 40.3633278153}, 'HRV_SDNNd': {'0': 24.6253493028}, 'HRV_pNN20': {'0': 46.1538461538}, 'HRV_pNN50': {'0': 23.0769230769}, 'HRV_MeanNN': {'0': 1096.9230769231}, 'HRV_SD1SD2': {'0': 0.4881152053}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 1100}, 'HRV_CSI_Modified': {'0': 490.3402540863}}, 'mode': 'hrv', 'uuid': '9a8fca5a-a5bd-4511-a0ca-5a87085fc9c6', 'device': '6D18B021', 'hr_mean': 69.18, 'message': ''}",2021-06-15 04:53:14.725975+00:00,6
4148,6D18B021,9a8fca5a-a5bd-4511-a0ca-5a87085fc9c6,hrv,,0.0,27.2554057548,75.43,success,success,"{'HRV': {'HRV_S': {'0': 3683.8738498206}, 'HRV_AI': {'0': 61.9170524896}, 'HRV_Ca': {'0': 0.4030724501}, 'HRV_Cd': {'0': 0.5969275499}, 'HRV_GI': {'0': 62.5}, 'HRV_HF': {'0': None}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 36.3636363636}, 'HRV_SI': {'0': 63.0955363589}, 'HRV_C1a': {'0': 0.3846153846}, 'HRV_C1d': {'0': 0.6153846154}, 'HRV_C2a': {'0': 0.4051257422}, 'HRV_C2d': {'0': 0.5948742578}, 'HRV_CSI': {'0': 3.0663168216}, 'HRV_CVI': {'0': 4.2732748598}, 'HRV_HFn': {'0': None}, 'HRV_HTI': {'0': 2.5}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0}, 'HRV_PIP': {'0': 0.4666666667}, 'HRV_PSS': {'0': 0.8}, 'HRV_SD1': {'0': 19.5555000554}, 'HRV_SD2': {'0': 59.9633587752}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': None}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.0741079722}, 'HRV_CVNN': {'0': 0.047616929}, 'HRV_CVSD': {'0': 0.0284305345}, 'HRV_IALS': {'0': 0.4545454545}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': None}, 'HRV_SD1a': {'0': 12.4034734589}, 'HRV_SD1d': {'0': 15.6892908111}, 'HRV_SD2a': {'0': 38.1663713173}, 'HRV_SD2d': {'0': 46.2485945308}, 'HRV_SDNN': {'0': 45.648762566}, 'HRV_SDSD': {'0': 27.6556533974}, 'HRV_TINN': {'0': 160}, 'HRV_IQRNN': {'0': 60}, 'HRV_MCVNN': {'0': 0.061775}, 'HRV_MadNN': {'0': 59.304}, 'HRV_RMSSD': {'0': 27.2554057548}, 'HRV_SDNNa': {'0': 28.3770862967}, 'HRV_SDNNd': {'0': 34.5332183718}, 'HRV_pNN20': {'0': 33.3333333333}, 'HRV_pNN50': {'0': 0}, 'HRV_MeanNN': {'0': 958.6666666667}, 'HRV_SD1SD2': {'0': 0.3261241607}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 960}, 'HRV_CSI_Modified': {'0': 735.466622774}}, 'mode': 'hrv', 'uuid': '9a8fca5a-a5bd-4511-a0ca-5a87085fc9c6', 'device': '6D18B021', 'hr_mean': 75.43, 'message': ''}",2021-06-15 04:53:16.907135+00:00,7
4149,6D18B021,9a8fca5a-a5bd-4511-a0ca-5a87085fc9c6,hrv,,7.6923076923,27.6887462097,82.06,success,success,"{'HRV': {'HRV_S': {'0': 2482.8395788365}, 'HRV_AI': {'0': 67.2174172321}, 'HRV_Ca': {'0': 0.3825933076}, 'HRV_Cd': {'0': 0.6174066924}, 'HRV_GI': {'0': 66.6666666667}, 'HRV_HF': {'0': None}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 40}, 'HRV_SI': {'0': 66.1261772227}, 'HRV_C1a': {'0': 0.2173913043}, 'HRV_C1d': {'0': 0.7826086957}, 'HRV_C2a': {'0': 0.4273388943}, 'HRV_C2d': {'0': 0.5726611057}, 'HRV_CSI': {'0': 1.9535811733}, 'HRV_CVI': {'0': 4.1019187698}, 'HRV_HFn': {'0': None}, 'HRV_HTI': {'0': 2.6}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.5}, 'HRV_PIP': {'0': 0.6923076923}, 'HRV_PSS': {'0': 1}, 'HRV_SD1': {'0': 20.1133153544}, 'HRV_SD2': {'0': 39.2929942094}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': None}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.2926639953}, 'HRV_CVNN': {'0': 0.0303988344}, 'HRV_CVSD': {'0': 0.0253488522}, 'HRV_IALS': {'0': 1}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': None}, 'HRV_SD1a': {'0': 9.5346258925}, 'HRV_SD1d': {'0': 18.0906806747}, 'HRV_SD2a': {'0': 25.6862872665}, 'HRV_SD2d': {'0': 29.7347278515}, 'HRV_SDNN': {'0': 33.204880704}, 'HRV_SDSD': {'0': 28.4445233585}, 'HRV_TINN': {'0': 100}, 'HRV_IQRNN': {'0': 20}, 'HRV_MCVNN': {'0': 0.0274555556}, 'HRV_MadNN': {'0': 29.652}, 'HRV_RMSSD': {'0': 27.6887462097}, 'HRV_SDNNa': {'0': 19.3738798959}, 'HRV_SDNNd': {'0': 24.6112450688}, 'HRV_pNN20': {'0': 15.3846153846}, 'HRV_pNN50': {'0': 7.6923076923}, 'HRV_MeanNN': {'0': 1092.3076923077}, 'HRV_SD1SD2': {'0': 0.5118804448}, 'HRV_SampEn': {'0': 1.6094379124}, 'HRV_MedianNN': {'0': 1080}, 'HRV_CSI_Modified': {'0': 307.0482149233}}, 'mode': 'hrv', 'uuid': '9a8fca5a-a5bd-4511-a0ca-5a87085fc9c6', 'device': '6D18B021', 'hr_mean': 82.06, 'message': ''}",2021-06-15 04:53:19.092594+00:00,8
4150,6D18B021,9a8fca5a-a5bd-4511-a0ca-5a87085fc9c6,hrv,,0.0,22.360679775,74.8,success,success,"{'HRV': {'HRV_S': {'0': 1186.3072649683}, 'HRV_AI': {'0': 54.5308560884}, 'HRV_Ca': {'0': 0.4847406705}, 'HRV_Cd': {'0': 0.5152593295}, 'HRV_GI': {'0': 54.5454545455}, 'HRV_HF': {'0': None}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 44.4444444444}, 'HRV_SI': {'0': 54.5594456108}, 'HRV_C1a': {'0': 0.4666666667}, 'HRV_C1d': {'0': 0.5333333333}, 'HRV_C2a': {'0': 0.4941162344}, 'HRV_C2d': {'0': 0.5058837656}, 'HRV_CSI': {'0': 1.392317308}, 'HRV_CVI': {'0': 3.7811673}, 'HRV_HFn': {'0': None}, 'HRV_HTI': {'0': 2.6}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.5}, 'HRV_PIP': {'0': 0.7692307692}, 'HRV_PSS': {'0': 1}, 'HRV_SD1': {'0': 16.4685190959}, 'HRV_SD2': {'0': 22.9294041736}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': None}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.1440376832}, 'HRV_CVNN': {'0': 0.0168134131}, 'HRV_CVSD': {'0': 0.019431072}, 'HRV_IALS': {'0': 0.8888888889}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': None}, 'HRV_SD1a': {'0': 11.2815214964}, 'HRV_SD1d': {'0': 12.0604537831}, 'HRV_SD2a': {'0': 16.117858218}, 'HRV_SD2d': {'0': 16.3086548257}, 'HRV_SDNN': {'0': 19.3483584409}, 'HRV_SDSD': {'0': 23.2900030576}, 'HRV_TINN': {'0': 60}, 'HRV_IQRNN': {'0': 20}, 'HRV_MCVNN': {'0': 0.025562069}, 'HRV_MadNN': {'0': 29.652}, 'HRV_RMSSD': {'0': 22.360679775}, 'HRV_SDNNa': {'0': 13.9114715398}, 'HRV_SDNNd': {'0': 14.3427118718}, 'HRV_pNN20': {'0': 15.3846153846}, 'HRV_pNN50': {'0': 0}, 'HRV_MeanNN': {'0': 1150.7692307692}, 'HRV_SD1SD2': {'0': 0.7182270839}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 1160}, 'HRV_CSI_Modified': {'0': 127.7000251682}}, 'mode': 'hrv', 'uuid': '9a8fca5a-a5bd-4511-a0ca-5a87085fc9c6', 'device': '6D18B021', 'hr_mean': 74.8, 'message': ''}",2021-06-15 04:53:21.422020+00:00,9
4151,6D18B021,9a8fca5a-a5bd-4511-a0ca-5a87085fc9c6,hrv,,7.6923076923,32.1455025366,71.22,success,success,"{'HRV': {'HRV_S': {'0': 4938.4947600807}, 'HRV_AI': {'0': 76.9967220857}, 'HRV_Ca': {'0': 0.2268791452}, 'HRV_Cd': {'0': 0.7731208548}, 'HRV_GI': {'0': 76.4705882353}, 'HRV_HF': {'0': None}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 27.2727272727}, 'HRV_SI': {'0': 75.9503316219}, 'HRV_C1a': {'0': 0.1935483871}, 'HRV_C1d': {'0': 0.8064516129}, 'HRV_C2a': {'0': 0.2302311436}, 'HRV_C2d': {'0': 0.7697688564}, 'HRV_CSI': {'0': 3.5652966505}, 'HRV_CVI': {'0': 4.4005647073}, 'HRV_HFn': {'0': None}, 'HRV_HTI': {'0': 3.25}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0}, 'HRV_PIP': {'0': 0.3846153846}, 'HRV_PSS': {'0': 0.6}, 'HRV_SD1': {'0': 20.9978353863}, 'HRV_SD2': {'0': 74.8635121708}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': None}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.0285131531}, 'HRV_CVNN': {'0': 0.0511197854}, 'HRV_CVSD': {'0': 0.0273489223}, 'HRV_IALS': {'0': 0.4545454545}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': None}, 'HRV_SD1a': {'0': 10.4446593573}, 'HRV_SD1d': {'0': 21.3200716356}, 'HRV_SD2a': {'0': 35.9213155256}, 'HRV_SD2d': {'0': 65.6826045879}, 'HRV_SDNN': {'0': 60.0854092959}, 'HRV_SDSD': {'0': 29.6954235837}, 'HRV_TINN': {'0': 200}, 'HRV_IQRNN': {'0': 100}, 'HRV_MCVNN': {'0': 0.0502576271}, 'HRV_MadNN': {'0': 59.304}, 'HRV_RMSSD': {'0': 32.1455025366}, 'HRV_SDNNa': {'0': 26.4521437523}, 'HRV_SDNNd': {'0': 48.8300624616}, 'HRV_pNN20': {'0': 38.4615384615}, 'HRV_pNN50': {'0': 7.6923076923}, 'HRV_MeanNN': {'0': 1175.3846153846}, 'HRV_SD1SD2': {'0': 0.2804815694}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 1180}, 'HRV_CSI_Modified': {'0': 1067.6425167537}}, 'mode': 'hrv', 'uuid': '9a8fca5a-a5bd-4511-a0ca-5a87085fc9c6', 'device': '6D18B021', 'hr_mean': 71.22, 'message': ''}",2021-06-15 04:53:23.634844+00:00,10
