id,device_code,uuid,mode,mean,hrv_pnn50,hrv_rmssd,hr_mean,status_basic,status_sliding,response_body,created_at,row_number
1030,6D18B021,a7f1a6c6-e1cc-407d-81a5-bcd981f9f69c,hrv,,90.0,605.1880960321,93.31,success,success,"{'HRV': {'HRV_S': {'0': 677072.9576489986}, 'HRV_AI': {'0': 46.1150277777}, 'HRV_Ca': {'0': 0.4798652389}, 'HRV_Cd': {'0': 0.5201347611}, 'HRV_GI': {'0': 47.4725274725}, 'HRV_HF': {'0': 0.1042298421}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 47.3684210526}, 'HRV_SI': {'0': 49.3570303303}, 'HRV_C1a': {'0': 0.5811921596}, 'HRV_C1d': {'0': 0.4188078404}, 'HRV_C2a': {'0': 0.3984844753}, 'HRV_C2d': {'0': 0.6015155247}, 'HRV_CSI': {'0': 1.1167329795}, 'HRV_CVI': {'0': 6.5376055783}, 'HRV_HFn': {'0': 0.9548018855}, 'HRV_HTI': {'0': 2.8571428571}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0}, 'HRV_PIP': {'0': 0.55}, 'HRV_PSS': {'0': 0.9166666667}, 'HRV_SD1': {'0': 439.3070034439}, 'HRV_SD2': {'0': 490.588618888}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 0.0049339998}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.091858501}, 'HRV_CVNN': {'0': 0.3750881513}, 'HRV_CVSD': {'0': 0.4884488265}, 'HRV_IALS': {'0': 0.6315789474}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -2.2611567984}, 'HRV_SD1a': {'0': 335.1782278795}, 'HRV_SD1d': {'0': 284.5268977716}, 'HRV_SD2a': {'0': 309.6871404523}, 'HRV_SD2d': {'0': 380.4879341332}, 'HRV_SDNN': {'0': 464.7342194597}, 'HRV_SDSD': {'0': 621.2739223158}, 'HRV_TINN': {'0': 1600}, 'HRV_IQRNN': {'0': 535}, 'HRV_MCVNN': {'0': 0.3339189189}, 'HRV_MadNN': {'0': 370.65}, 'HRV_RMSSD': {'0': 605.1880960321}, 'HRV_SDNNa': {'0': 322.6844971532}, 'HRV_SDNNd': {'0': 335.9513533062}, 'HRV_pNN20': {'0': 95}, 'HRV_pNN50': {'0': 90}, 'HRV_MeanNN': {'0': 1239}, 'HRV_SD1SD2': {'0': 0.8954692109}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 1110}, 'HRV_CSI_Modified': {'0': 2191.4259603939}}, 'mode': 'hrv', 'uuid': 'a7f1a6c6-e1cc-407d-81a5-bcd981f9f69c', 'device': '6D18B021', 'hr_mean': 93.31, 'message': ''}",2021-06-08 06:23:31.368722+00:00,1
1031,6D18B021,a7f1a6c6-e1cc-407d-81a5-bcd981f9f69c,hrv,,90.0,876.8364187596,82.51,success,success,"{'HRV': {'HRV_S': {'0': 1165702.3959995247}, 'HRV_AI': {'0': 47.9530986189}, 'HRV_Ca': {'0': 0.4215934213}, 'HRV_Cd': {'0': 0.5784065787}, 'HRV_GI': {'0': 48.1233243968}, 'HRV_HF': {'0': 0.058220385}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 42.1052631579}, 'HRV_SI': {'0': 48.3527320194}, 'HRV_C1a': {'0': 0.5500273823}, 'HRV_C1d': {'0': 0.4499726177}, 'HRV_C2a': {'0': 0.2681706634}, 'HRV_C2d': {'0': 0.7318293366}, 'HRV_CSI': {'0': 0.915462448}, 'HRV_CVI': {'0': 6.7735577991}, 'HRV_HFn': {'0': 0.8277142868}, 'HRV_HTI': {'0': 4}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.25}, 'HRV_PIP': {'0': 0.65}, 'HRV_PSS': {'0': 0.9285714286}, 'HRV_SD1': {'0': 636.6469180367}, 'HRV_SD2': {'0': 582.8263460994}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 0.012118361}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.091858501}, 'HRV_CVNN': {'0': 0.4219979754}, 'HRV_CVSD': {'0': 0.6187977549}, 'HRV_IALS': {'0': 0.7368421053}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -2.843519728}, 'HRV_SD1a': {'0': 472.4287130233}, 'HRV_SD1d': {'0': 427.3042111762}, 'HRV_SD2a': {'0': 301.8177718004}, 'HRV_SD2d': {'0': 498.5905959131}, 'HRV_SDNN': {'0': 597.9711311462}, 'HRV_SDSD': {'0': 900.3547059305}, 'HRV_TINN': {'0': 1960}, 'HRV_IQRNN': {'0': 1095}, 'HRV_MCVNN': {'0': 0.5805986014}, 'HRV_MadNN': {'0': 830.256}, 'HRV_RMSSD': {'0': 876.8364187596}, 'HRV_SDNNa': {'0': 396.4106811524}, 'HRV_SDNNd': {'0': 464.3174944055}, 'HRV_pNN20': {'0': 90}, 'HRV_pNN50': {'0': 90}, 'HRV_MeanNN': {'0': 1417}, 'HRV_SD1SD2': {'0': 1.0923440958}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 1430}, 'HRV_CSI_Modified': {'0': 2134.2225342432}}, 'mode': 'hrv', 'uuid': 'a7f1a6c6-e1cc-407d-81a5-bcd981f9f69c', 'device': '6D18B021', 'hr_mean': 82.51, 'message': ''}",2021-06-08 06:23:43.803138+00:00,2
1032,6D18B021,a7f1a6c6-e1cc-407d-81a5-bcd981f9f69c,hrv,,90.9090909091,637.6594105081,75.14,success,success,"{'HRV': {'HRV_S': {'0': 692762.9096570319}, 'HRV_AI': {'0': 51.5150997379}, 'HRV_Ca': {'0': 0.4820377799}, 'HRV_Cd': {'0': 0.5179622201}, 'HRV_GI': {'0': 54.1108986616}, 'HRV_HF': {'0': 0.0889990978}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 33.3333333333}, 'HRV_SI': {'0': 57.8580002175}, 'HRV_C1a': {'0': 0.5701972174}, 'HRV_C1d': {'0': 0.4298027826}, 'HRV_C2a': {'0': 0.3997608628}, 'HRV_C2d': {'0': 0.6002391372}, 'HRV_CSI': {'0': 1.0372725757}, 'HRV_CVI': {'0': 6.5475547376}, 'HRV_HFn': {'0': 0.9759215948}, 'HRV_HTI': {'0': 2.75}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.1666666667}, 'HRV_PIP': {'0': 0.5454545455}, 'HRV_PSS': {'0': 0.8461538462}, 'HRV_SD1': {'0': 461.0743148447}, 'HRV_SD2': {'0': 478.2597421406}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 0.0021958284}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.3132942447}, 'HRV_CVNN': {'0': 0.3611259342}, 'HRV_CVSD': {'0': 0.4814175371}, 'HRV_IALS': {'0': 0.619047619}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -2.4191290459}, 'HRV_SD1a': {'0': 348.8839348551}, 'HRV_SD1d': {'0': 302.9026246172}, 'HRV_SD2a': {'0': 302.3875889785}, 'HRV_SD2d': {'0': 370.5322212496}, 'HRV_SDNN': {'0': 478.3277146449}, 'HRV_SDSD': {'0': 652.0575493153}, 'HRV_TINN': {'0': 1720}, 'HRV_IQRNN': {'0': 320}, 'HRV_MCVNN': {'0': 0.2510854839}, 'HRV_MadNN': {'0': 311.346}, 'HRV_RMSSD': {'0': 637.6594105081}, 'HRV_SDNNa': {'0': 326.4645876418}, 'HRV_SDNNd': {'0': 338.4110865383}, 'HRV_pNN20': {'0': 95.4545454545}, 'HRV_pNN50': {'0': 90.9090909091}, 'HRV_MeanNN': {'0': 1324.5454545455}, 'HRV_SD1SD2': {'0': 0.9640667491}, 'HRV_SampEn': {'0': 1.2527629685}, 'HRV_MedianNN': {'0': 1240}, 'HRV_CSI_Modified': {'0': 1984.342858304}}, 'mode': 'hrv', 'uuid': 'a7f1a6c6-e1cc-407d-81a5-bcd981f9f69c', 'device': '6D18B021', 'hr_mean': 75.14, 'message': ''}",2021-06-08 06:23:55.042612+00:00,3
1033,6D18B021,a7f1a6c6-e1cc-407d-81a5-bcd981f9f69c,hrv,,85.0,647.1963827887,74.07,success,success,"{'HRV': {'HRV_S': {'0': 886218.1967266606}, 'HRV_AI': {'0': 47.579664832}, 'HRV_Ca': {'0': 0.4825021532}, 'HRV_Cd': {'0': 0.5174978468}, 'HRV_GI': {'0': 49.3421052632}, 'HRV_HF': {'0': 0.0963413864}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 44.4444444444}, 'HRV_SI': {'0': 51.0999406382}, 'HRV_C1a': {'0': 0.6317350221}, 'HRV_C1d': {'0': 0.3682649779}, 'HRV_C2a': {'0': 0.390861522}, 'HRV_C2d': {'0': 0.609138478}, 'HRV_CSI': {'0': 1.2761710499}, 'HRV_CVI': {'0': 6.6545107731}, 'HRV_HFn': {'0': 0.9770397617}, 'HRV_HTI': {'0': 2.5}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.5}, 'HRV_PIP': {'0': 0.6}, 'HRV_PSS': {'0': 0.8333333333}, 'HRV_SD1': {'0': 470.154883028}, 'HRV_SD2': {'0': 599.9980506791}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 0.0022640032}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.3688065211}, 'HRV_CVNN': {'0': 0.3590129714}, 'HRV_CVSD': {'0': 0.4288909097}, 'HRV_IALS': {'0': 0.6666666667}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -2.339857287}, 'HRV_SD1a': {'0': 373.7051719679}, 'HRV_SD1d': {'0': 285.3263239014}, 'HRV_SD2a': {'0': 375.112294667}, 'HRV_SD2d': {'0': 468.2824224849}, 'HRV_SDNN': {'0': 541.7505737981}, 'HRV_SDSD': {'0': 664.8994119942}, 'HRV_TINN': {'0': 1460}, 'HRV_IQRNN': {'0': 1060}, 'HRV_MCVNN': {'0': 0.5092900763}, 'HRV_MadNN': {'0': 667.17}, 'HRV_RMSSD': {'0': 647.1963827887}, 'HRV_SDNNa': {'0': 374.4093943572}, 'HRV_SDNNd': {'0': 387.7496217403}, 'HRV_pNN20': {'0': 90}, 'HRV_pNN50': {'0': 85}, 'HRV_MeanNN': {'0': 1509}, 'HRV_SD1SD2': {'0': 0.7835940175}, 'HRV_SampEn': {'0': 1.2992829841}, 'HRV_MedianNN': {'0': 1310}, 'HRV_CSI_Modified': {'0': 3062.8005690394}}, 'mode': 'hrv', 'uuid': 'a7f1a6c6-e1cc-407d-81a5-bcd981f9f69c', 'device': '6D18B021', 'hr_mean': 74.07, 'message': ''}",2021-06-08 06:24:07.216671+00:00,4
1034,6D18B021,a7f1a6c6-e1cc-407d-81a5-bcd981f9f69c,hrv,,95.8333333333,771.5596852001,75.5,success,success,"{'HRV': {'HRV_S': {'0': 886974.2739940783}, 'HRV_AI': {'0': 46.3273516995}, 'HRV_Ca': {'0': 0.4679970261}, 'HRV_Cd': {'0': 0.5320029739}, 'HRV_GI': {'0': 48.0926430518}, 'HRV_HF': {'0': 0.1392390456}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 43.4782608696}, 'HRV_SI': {'0': 50.4327508195}, 'HRV_C1a': {'0': 0.6128834356}, 'HRV_C1d': {'0': 0.3871165644}, 'HRV_C2a': {'0': 0.2921637446}, 'HRV_C2d': {'0': 0.7078362554}, 'HRV_CSI': {'0': 0.9081960988}, 'HRV_CVI': {'0': 6.6548811336}, 'HRV_HFn': {'0': 0.915031664}, 'HRV_HTI': {'0': 3}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.1666666667}, 'HRV_PIP': {'0': 0.6666666667}, 'HRV_PSS': {'0': 0.9411764706}, 'HRV_SD1': {'0': 557.5589087791}, 'HRV_SD2': {'0': 506.3728258262}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 0.0129295089}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.2495296622}, 'HRV_CVNN': {'0': 0.4262373573}, 'HRV_CVSD': {'0': 0.6226439961}, 'HRV_IALS': {'0': 0.7391304348}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -1.9715630706}, 'HRV_SD1a': {'0': 436.7129283845}, 'HRV_SD1d': {'0': 347.0787178201}, 'HRV_SD2a': {'0': 273.7055177218}, 'HRV_SD2d': {'0': 426.0266755778}, 'HRV_SDNN': {'0': 528.179125303}, 'HRV_SDSD': {'0': 788.5073706173}, 'HRV_TINN': {'0': 1880}, 'HRV_IQRNN': {'0': 625}, 'HRV_MCVNN': {'0': 0.3205621622}, 'HRV_MadNN': {'0': 355.824}, 'HRV_RMSSD': {'0': 771.5596852001}, 'HRV_SDNNa': {'0': 364.4399074261}, 'HRV_SDNNd': {'0': 388.5629708731}, 'HRV_pNN20': {'0': 95.8333333333}, 'HRV_pNN50': {'0': 95.8333333333}, 'HRV_MeanNN': {'0': 1239.1666666667}, 'HRV_SD1SD2': {'0': 1.1010837872}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 1110}, 'HRV_CSI_Modified': {'0': 1839.543299894}}, 'mode': 'hrv', 'uuid': 'a7f1a6c6-e1cc-407d-81a5-bcd981f9f69c', 'device': '6D18B021', 'hr_mean': 75.5, 'message': ''}",2021-06-08 06:24:19.193053+00:00,5
1035,6D18B021,a7f1a6c6-e1cc-407d-81a5-bcd981f9f69c,hrv,,95.652173913,669.3687664169,76.45,success,success,"{'HRV': {'HRV_S': {'0': 801503.0969450515}, 'HRV_AI': {'0': 50.2374188164}, 'HRV_Ca': {'0': 0.4185263926}, 'HRV_Cd': {'0': 0.5814736074}, 'HRV_GI': {'0': 50.2423263328}, 'HRV_HF': {'0': 0.1031212198}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 45.4545454545}, 'HRV_SI': {'0': 49.6950632043}, 'HRV_C1a': {'0': 0.5306983728}, 'HRV_C1d': {'0': 0.4693016272}, 'HRV_C2a': {'0': 0.3236026028}, 'HRV_C2d': {'0': 0.6763973972}, 'HRV_CSI': {'0': 1.0870718851}, 'HRV_CVI': {'0': 6.6108753147}, 'HRV_HFn': {'0': 0.9778645171}, 'HRV_HTI': {'0': 2.875}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0}, 'HRV_PIP': {'0': 0.5652173913}, 'HRV_PSS': {'0': 0.9285714286}, 'HRV_SD1': {'0': 484.4495247096}, 'HRV_SD2': {'0': 526.6314580812}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 0.0023343091}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.0765061073}, 'HRV_CVNN': {'0': 0.3963520338}, 'HRV_CVSD': {'0': 0.5353088188}, 'HRV_IALS': {'0': 0.6363636364}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -2.2718500919}, 'HRV_SD1a': {'0': 352.9197939368}, 'HRV_SD1d': {'0': 331.8777744033}, 'HRV_SD2a': {'0': 299.5799893381}, 'HRV_SD2d': {'0': 433.1195246452}, 'HRV_SDNN': {'0': 495.6123692498}, 'HRV_SDSD': {'0': 685.1150881295}, 'HRV_TINN': {'0': 1780}, 'HRV_IQRNN': {'0': 540}, 'HRV_MCVNN': {'0': 0.4131836066}, 'HRV_MadNN': {'0': 504.084}, 'HRV_RMSSD': {'0': 669.3687664169}, 'HRV_SDNNa': {'0': 327.3381668582}, 'HRV_SDNNd': {'0': 385.8337593911}, 'HRV_pNN20': {'0': 95.652173913}, 'HRV_pNN50': {'0': 95.652173913}, 'HRV_MeanNN': {'0': 1250.4347826087}, 'HRV_SD1SD2': {'0': 0.9199023668}, 'HRV_SampEn': {'0': 1.0986122887}, 'HRV_MedianNN': {'0': 1220}, 'HRV_CSI_Modified': {'0': 2289.945007641}}, 'mode': 'hrv', 'uuid': 'a7f1a6c6-e1cc-407d-81a5-bcd981f9f69c', 'device': '6D18B021', 'hr_mean': 76.45, 'message': ''}",2021-06-08 06:24:31.363210+00:00,6
1036,6D18B021,a7f1a6c6-e1cc-407d-81a5-bcd981f9f69c,hrv,,85.7142857143,649.5382975622,74.1,success,success,"{'HRV': {'HRV_S': {'0': 791798.9903521216}, 'HRV_AI': {'0': 57.145896203}, 'HRV_Ca': {'0': 0.486069955}, 'HRV_Cd': {'0': 0.513930045}, 'HRV_GI': {'0': 56.8588469185}, 'HRV_HF': {'0': 0.091710248}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 52.6315789474}, 'HRV_SI': {'0': 56.9340539896}, 'HRV_C1a': {'0': 0.3662953306}, 'HRV_C1d': {'0': 0.6337046694}, 'HRV_C2a': {'0': 0.5779916015}, 'HRV_C2d': {'0': 0.4220083985}, 'HRV_CSI': {'0': 1.1479893953}, 'HRV_CVI': {'0': 6.6055850536}, 'HRV_HFn': {'0': 0.987823116}, 'HRV_HTI': {'0': 3.5}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.2}, 'HRV_PIP': {'0': 0.5238095238}, 'HRV_PSS': {'0': 0.7272727273}, 'HRV_SD1': {'0': 468.55825903}, 'HRV_SD2': {'0': 537.8999124275}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 0.0011305112}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.1566508598}, 'HRV_CVNN': {'0': 0.3797422182}, 'HRV_CVSD': {'0': 0.4776016894}, 'HRV_IALS': {'0': 0.5789473684}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -2.3891211508}, 'HRV_SD1a': {'0': 285.1961467223}, 'HRV_SD1d': {'0': 375.1210330996}, 'HRV_SD2a': {'0': 408.9424904877}, 'HRV_SD2d': {'0': 349.4314743453}, 'HRV_SDNN': {'0': 516.4494166905}, 'HRV_SDSD': {'0': 662.6414446822}, 'HRV_TINN': {'0': 1600}, 'HRV_IQRNN': {'0': 1020}, 'HRV_MCVNN': {'0': 0.4020610169}, 'HRV_MadNN': {'0': 474.432}, 'HRV_RMSSD': {'0': 649.5382975622}, 'HRV_SDNNa': {'0': 352.5413469592}, 'HRV_SDNNd': {'0': 362.5038929011}, 'HRV_pNN20': {'0': 90.4761904762}, 'HRV_pNN50': {'0': 85.7142857143}, 'HRV_MeanNN': {'0': 1360}, 'HRV_SD1SD2': {'0': 0.8710881861}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 1180}, 'HRV_CSI_Modified': {'0': 2470.0135807097}}, 'mode': 'hrv', 'uuid': 'a7f1a6c6-e1cc-407d-81a5-bcd981f9f69c', 'device': '6D18B021', 'hr_mean': 74.1, 'message': ''}",2021-06-08 06:24:42.887496+00:00,7
1037,6D18B021,a7f1a6c6-e1cc-407d-81a5-bcd981f9f69c,hrv,,95.0,800.697064734,79.4,success,success,"{'HRV': {'HRV_S': {'0': 1121546.460675844}, 'HRV_AI': {'0': 44.6243391061}, 'HRV_Ca': {'0': 0.4500032928}, 'HRV_Cd': {'0': 0.5499967072}, 'HRV_GI': {'0': 44.3917851501}, 'HRV_HF': {'0': 0.0944835379}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 36.8421052632}, 'HRV_SI': {'0': 43.5434027483}, 'HRV_C1a': {'0': 0.6470955243}, 'HRV_C1d': {'0': 0.3529044757}, 'HRV_C2a': {'0': 0.2744901773}, 'HRV_C2d': {'0': 0.7255098227}, 'HRV_CSI': {'0': 1.0643393226}, 'HRV_CVI': {'0': 6.7567873791}, 'HRV_HFn': {'0': 0.9925801097}, 'HRV_HTI': {'0': 2.8571428571}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0}, 'HRV_PIP': {'0': 0.45}, 'HRV_PSS': {'0': 0.8}, 'HRV_SD1': {'0': 579.1534455136}, 'HRV_SD2': {'0': 616.4157858561}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 0.0007062981}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.1232197374}, 'HRV_CVNN': {'0': 0.3970730601}, 'HRV_CVSD': {'0': 0.5212871515}, 'HRV_IALS': {'0': 0.5263157895}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -2.3593296613}, 'HRV_SD1a': {'0': 467.9268698799}, 'HRV_SD1d': {'0': 345.5591282416}, 'HRV_SD2a': {'0': 322.9513883873}, 'HRV_SD2d': {'0': 525.0436379877}, 'HRV_SDNN': {'0': 609.9042202631}, 'HRV_SDSD': {'0': 819.0466573405}, 'HRV_TINN': {'0': 1900}, 'HRV_IQRNN': {'0': 1135}, 'HRV_MCVNN': {'0': 0.5016315789}, 'HRV_MadNN': {'0': 667.17}, 'HRV_RMSSD': {'0': 800.697064734}, 'HRV_SDNNa': {'0': 402.028080373}, 'HRV_SDNNd': {'0': 444.4558093345}, 'HRV_pNN20': {'0': 95}, 'HRV_pNN50': {'0': 95}, 'HRV_MeanNN': {'0': 1536}, 'HRV_SD1SD2': {'0': 0.9395499901}, 'HRV_SampEn': {'0': 0.6931471806}, 'HRV_MedianNN': {'0': 1330}, 'HRV_CSI_Modified': {'0': 2624.3022397331}}, 'mode': 'hrv', 'uuid': 'a7f1a6c6-e1cc-407d-81a5-bcd981f9f69c', 'device': '6D18B021', 'hr_mean': 79.4, 'message': ''}",2021-06-08 06:24:55.187599+00:00,8
1038,6D18B021,a7f1a6c6-e1cc-407d-81a5-bcd981f9f69c,hrv,,68.75,703.1927189612,76.21,success,success,"{'HRV': {'HRV_S': {'0': 978097.6148978348}, 'HRV_AI': {'0': 49.1703510354}, 'HRV_Ca': {'0': 0.5407474923}, 'HRV_Cd': {'0': 0.4592525077}, 'HRV_GI': {'0': 48.1108312343}, 'HRV_HF': {'0': 0.0780293632}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 60}, 'HRV_SI': {'0': 46.6846606886}, 'HRV_C1a': {'0': 0.3677937766}, 'HRV_C1d': {'0': 0.6322062234}, 'HRV_C2a': {'0': 0.6658533668}, 'HRV_C2d': {'0': 0.3341466332}, 'HRV_CSI': {'0': 1.176255928}, 'HRV_CVI': {'0': 6.6973523098}, 'HRV_HFn': {'0': 0.9988411847}, 'HRV_HTI': {'0': 1.7777777778}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.2}, 'HRV_PIP': {'0': 0.5625}, 'HRV_PSS': {'0': 0.9}, 'HRV_SD1': {'0': 514.4761552159}, 'HRV_SD2': {'0': 605.1556273665}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 9.05265e-05}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.1441281845}, 'HRV_CVNN': {'0': 0.3223214965}, 'HRV_CVSD': {'0': 0.4091303092}, 'HRV_IALS': {'0': 0.6666666667}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -2.5506700723}, 'HRV_SD1a': {'0': 312.1355017113}, 'HRV_SD1d': {'0': 409.2327315495}, 'HRV_SD2a': {'0': 493.8060155085}, 'HRV_SD2d': {'0': 349.8127390204}, 'HRV_SDNN': {'0': 553.9900721132}, 'HRV_SDSD': {'0': 727.5791562239}, 'HRV_TINN': {'0': 1540}, 'HRV_IQRNN': {'0': 920}, 'HRV_MCVNN': {'0': 0.2193642857}, 'HRV_MadNN': {'0': 429.954}, 'HRV_RMSSD': {'0': 703.1927189612}, 'HRV_SDNNa': {'0': 413.0816822258}, 'HRV_SDNNd': {'0': 380.6838458304}, 'HRV_pNN20': {'0': 81.25}, 'HRV_pNN50': {'0': 68.75}, 'HRV_MeanNN': {'0': 1718.75}, 'HRV_SD1SD2': {'0': 0.8501551204}, 'HRV_SampEn': {'0': 1.3862943611}, 'HRV_MedianNN': {'0': 1960}, 'HRV_CSI_Modified': {'0': 2847.2715761116}}, 'mode': 'hrv', 'uuid': 'a7f1a6c6-e1cc-407d-81a5-bcd981f9f69c', 'device': '6D18B021', 'hr_mean': 76.21, 'message': ''}",2021-06-08 06:25:06.925935+00:00,9
1039,6D18B021,a7f1a6c6-e1cc-407d-81a5-bcd981f9f69c,hrv,,81.25,613.6231199469,76.09,success,success,"{'HRV': {'HRV_S': {'0': 856657.458271246}, 'HRV_AI': {'0': 52.6712717399}, 'HRV_Ca': {'0': 0.5660266214}, 'HRV_Cd': {'0': 0.4339733786}, 'HRV_GI': {'0': 50.8875739645}, 'HRV_HF': {'0': 0.0712588241}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 60}, 'HRV_SI': {'0': 48.6436620798}, 'HRV_C1a': {'0': 0.3638810198}, 'HRV_C1d': {'0': 0.6361189802}, 'HRV_C2a': {'0': 0.6766250943}, 'HRV_C2d': {'0': 0.3233749057}, 'HRV_CSI': {'0': 1.3520554246}, 'HRV_CVI': {'0': 6.6397773103}, 'HRV_HFn': {'0': 0.9910224362}, 'HRV_HTI': {'0': 2.2857142857}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0}, 'HRV_PIP': {'0': 0.4375}, 'HRV_PSS': {'0': 0.875}, 'HRV_SD1': {'0': 449.0879646573}, 'HRV_SD2': {'0': 607.1918187541}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 0.0006455259}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.3739264441}, 'HRV_CVNN': {'0': 0.2802118986}, 'HRV_CVSD': {'0': 0.3301267626}, 'HRV_IALS': {'0': 0.5333333333}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -2.6414366204}, 'HRV_SD1a': {'0': 270.9243436829}, 'HRV_SD1d': {'0': 358.2098347537}, 'HRV_SD2a': {'0': 499.4591360376}, 'HRV_SD2d': {'0': 345.2860787673}, 'HRV_SDNN': {'0': 520.8438665602}, 'HRV_SDSD': {'0': 635.1062903168}, 'HRV_TINN': {'0': 1700}, 'HRV_IQRNN': {'0': 340}, 'HRV_MCVNN': {'0': 0.1162823529}, 'HRV_MadNN': {'0': 237.216}, 'HRV_RMSSD': {'0': 613.6231199469}, 'HRV_SDNNa': {'0': 401.7831682459}, 'HRV_SDNNd': {'0': 351.8073065648}, 'HRV_pNN20': {'0': 87.5}, 'HRV_pNN50': {'0': 81.25}, 'HRV_MeanNN': {'0': 1858.75}, 'HRV_SD1SD2': {'0': 0.7396146502}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 2040}, 'HRV_CSI_Modified': {'0': 3283.827969367}}, 'mode': 'hrv', 'uuid': 'a7f1a6c6-e1cc-407d-81a5-bcd981f9f69c', 'device': '6D18B021', 'hr_mean': 76.09, 'message': ''}",2021-06-08 06:25:19.181815+00:00,10
