id,device_code,uuid,mode,mean,hrv_pnn50,hrv_rmssd,hr_mean,status_basic,status_sliding,response_body,created_at,row_number
4897,6D18B021,d001b70a-b9d9-44b2-b527-f270dad90374,hrv,,20.0,39.4405318873,74.84,success,success,"{'HRV': {'HRV_S': {'0': 4502.6450419619}, 'HRV_AI': {'0': 68.8948729321}, 'HRV_Ca': {'0': 0.3434712084}, 'HRV_Cd': {'0': 0.6565287916}, 'HRV_GI': {'0': 69.2307692308}, 'HRV_HF': {'0': None}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 33.3333333333}, 'HRV_SI': {'0': 69.5730150874}, 'HRV_C1a': {'0': 0.2857142857}, 'HRV_C1d': {'0': 0.7142857143}, 'HRV_C2a': {'0': 0.3632897603}, 'HRV_C2d': {'0': 0.6367102397}, 'HRV_CSI': {'0': 1.7791900521}, 'HRV_CVI': {'0': 4.3604378214}, 'HRV_HFn': {'0': None}, 'HRV_HTI': {'0': 2}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0}, 'HRV_PIP': {'0': 0.4}, 'HRV_PSS': {'0': 1}, 'HRV_SD1': {'0': 28.3823106099}, 'HRV_SD2': {'0': 50.4975246918}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': None}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.0362496711}, 'HRV_CVNN': {'0': 0.0410401725}, 'HRV_CVSD': {'0': 0.0374198595}, 'HRV_IALS': {'0': 0.5}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': None}, 'HRV_SD1a': {'0': 15.8113883008}, 'HRV_SD1d': {'0': 25}, 'HRV_SD2a': {'0': 30.4366372796}, 'HRV_SD2d': {'0': 40.2940580125}, 'HRV_SDNN': {'0': 43.25634186}, 'HRV_SDSD': {'0': 40.138648596}, 'HRV_TINN': {'0': 120}, 'HRV_IQRNN': {'0': 75}, 'HRV_MCVNN': {'0': 0.0559471698}, 'HRV_MadNN': {'0': 59.304}, 'HRV_RMSSD': {'0': 39.4405318873}, 'HRV_SDNNa': {'0': 24.2527203514}, 'HRV_SDNNd': {'0': 33.5306658979}, 'HRV_pNN20': {'0': 40}, 'HRV_pNN50': {'0': 20}, 'HRV_MeanNN': {'0': 1054}, 'HRV_SD1SD2': {'0': 0.5620535023}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 1060}, 'HRV_CSI_Modified': {'0': 359.378774343}}, 'mode': 'hrv', 'uuid': 'd001b70a-b9d9-44b2-b527-f270dad90374', 'device': '6D18B021', 'hr_mean': 74.84, 'message': ''}",2021-06-16 03:22:29.038753+00:00,1
4898,6D18B021,d001b70a-b9d9-44b2-b527-f270dad90374,hrv,,0.0,21.0818510678,76.99,success,success,"{'HRV': {'HRV_S': {'0': 1378.1471664413}, 'HRV_AI': {'0': 62.3611032462}, 'HRV_Ca': {'0': 0.4239766082}, 'HRV_Cd': {'0': 0.5760233918}, 'HRV_GI': {'0': 62.5}, 'HRV_HF': {'0': None}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 42.8571428571}, 'HRV_SI': {'0': 62.6379957459}, 'HRV_C1a': {'0': 0.3}, 'HRV_C1d': {'0': 0.7}, 'HRV_C2a': {'0': 0.4624521073}, 'HRV_C2d': {'0': 0.5375478927}, 'HRV_CSI': {'0': 1.8363259578}, 'HRV_CVI': {'0': 3.8462657065}, 'HRV_HFn': {'0': None}, 'HRV_HTI': {'0': 3.3333333333}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.5}, 'HRV_PIP': {'0': 0.7}, 'HRV_PSS': {'0': 1}, 'HRV_SD1': {'0': 15.4560308258}, 'HRV_SD2': {'0': 28.3823106099}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': None}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.1902823779}, 'HRV_CVNN': {'0': 0.0208169086}, 'HRV_CVSD': {'0': 0.0189244624}, 'HRV_IALS': {'0': 0.8571428571}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': None}, 'HRV_SD1a': {'0': 8.6602540378}, 'HRV_SD1d': {'0': 13.2287565553}, 'HRV_SD2a': {'0': 19.3010586289}, 'HRV_SD2d': {'0': 20.8092453337}, 'HRV_SDNN': {'0': 23.1900361746}, 'HRV_SDSD': {'0': 21.8581284143}, 'HRV_TINN': {'0': 60}, 'HRV_IQRNN': {'0': 35}, 'HRV_MCVNN': {'0': 0.026475}, 'HRV_MadNN': {'0': 29.652}, 'HRV_RMSSD': {'0': 21.0818510678}, 'HRV_SDNNa': {'0': 14.9587911309}, 'HRV_SDNNd': {'0': 17.4359498072}, 'HRV_pNN20': {'0': 10}, 'HRV_pNN50': {'0': 0}, 'HRV_MeanNN': {'0': 1114}, 'HRV_SD1SD2': {'0': 0.5445656289}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 1120}, 'HRV_CSI_Modified': {'0': 208.47669486}}, 'mode': 'hrv', 'uuid': 'd001b70a-b9d9-44b2-b527-f270dad90374', 'device': '6D18B021', 'hr_mean': 76.99, 'message': ''}",2021-06-16 03:22:30.817897+00:00,2
4899,6D18B021,d001b70a-b9d9-44b2-b527-f270dad90374,hrv,,0.0,26.0768096208,73.08,success,success,"{'HRV': {'HRV_S': {'0': 1958.8659920429}, 'HRV_AI': {'0': 36.4960799882}, 'HRV_Ca': {'0': 0.5198786039}, 'HRV_Cd': {'0': 0.4801213961}, 'HRV_GI': {'0': 36.3636363636}, 'HRV_HF': {'0': None}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 62.5}, 'HRV_SI': {'0': 36.2303078186}, 'HRV_C1a': {'0': 0.6470588235}, 'HRV_C1d': {'0': 0.3529411765}, 'HRV_C2a': {'0': 0.4756646217}, 'HRV_C2d': {'0': 0.5243353783}, 'HRV_CSI': {'0': 1.7427756829}, 'HRV_CVI': {'0': 3.9989748365}, 'HRV_HFn': {'0': None}, 'HRV_HTI': {'0': 3.6666666667}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.3333333333}, 'HRV_PIP': {'0': 0.5454545455}, 'HRV_PSS': {'0': 1}, 'HRV_SD1': {'0': 18.9150146121}, 'HRV_SD2': {'0': 32.9646275069}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': None}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.1718983566}, 'HRV_CVNN': {'0': 0.0246370521}, 'HRV_CVSD': {'0': 0.0234733965}, 'HRV_IALS': {'0': 0.75}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': None}, 'HRV_SD1a': {'0': 15.6347191994}, 'HRV_SD1d': {'0': 11.5470053838}, 'HRV_SD2a': {'0': 22.73519054}, 'HRV_SD2d': {'0': 23.8700183866}, 'HRV_SDNN': {'0': 27.3695251894}, 'HRV_SDSD': {'0': 26.749870197}, 'HRV_TINN': {'0': 80}, 'HRV_IQRNN': {'0': 40}, 'HRV_MCVNN': {'0': 0.0269563636}, 'HRV_MadNN': {'0': 29.652}, 'HRV_RMSSD': {'0': 26.0768096208}, 'HRV_SDNNa': {'0': 19.5106808355}, 'HRV_SDNNd': {'0': 18.7498148139}, 'HRV_pNN20': {'0': 27.2727272727}, 'HRV_pNN50': {'0': 0}, 'HRV_MeanNN': {'0': 1110.9090909091}, 'HRV_SD1SD2': {'0': 0.5737973107}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 1100}, 'HRV_CSI_Modified': {'0': 229.7998048532}}, 'mode': 'hrv', 'uuid': 'd001b70a-b9d9-44b2-b527-f270dad90374', 'device': '6D18B021', 'hr_mean': 73.08, 'message': ''}",2021-06-16 03:22:32.602957+00:00,3
4900,6D18B021,d001b70a-b9d9-44b2-b527-f270dad90374,hrv,,0.0,20.0,72.92,success,success,"{'HRV': {'HRV_S': {'0': 684.0265760863}, 'HRV_AI': {'0': 49.9978571123}, 'HRV_Ca': {'0': 0.4989795918}, 'HRV_Cd': {'0': 0.5010204082}, 'HRV_GI': {'0': 50}, 'HRV_HF': {'0': None}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 42.8571428571}, 'HRV_SI': {'0': 50.002142949}, 'HRV_C1a': {'0': 0.6}, 'HRV_C1d': {'0': 0.4}, 'HRV_C2a': {'0': 0.39375}, 'HRV_C2d': {'0': 0.60625}, 'HRV_CSI': {'0': 0.9797958971}, 'HRV_CVI': {'0': 3.5420430854}, 'HRV_HFn': {'0': None}, 'HRV_HTI': {'0': 1.8333333333}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.5}, 'HRV_PIP': {'0': 0.6363636364}, 'HRV_PSS': {'0': 1}, 'HRV_SD1': {'0': 14.90711985}, 'HRV_SD2': {'0': 14.6059348668}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': None}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.3105277927}, 'HRV_CVNN': {'0': 0.0129531757}, 'HRV_CVSD': {'0': 0.018487395}, 'HRV_IALS': {'0': 0.8571428571}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': None}, 'HRV_SD1a': {'0': 11.5470053838}, 'HRV_SD1d': {'0': 9.4280904158}, 'HRV_SD2a': {'0': 9.1651513899}, 'HRV_SD2d': {'0': 11.3724814062}, 'HRV_SDNN': {'0': 14.0129809949}, 'HRV_SDSD': {'0': 21.0818510678}, 'HRV_TINN': {'0': 40}, 'HRV_IQRNN': {'0': 10}, 'HRV_MCVNN': {'0': 0}, 'HRV_MadNN': {'0': 0}, 'HRV_RMSSD': {'0': 20}, 'HRV_SDNNa': {'0': 10.4243305141}, 'HRV_SDNNd': {'0': 10.4456264107}, 'HRV_pNN20': {'0': 9.0909090909}, 'HRV_pNN50': {'0': 0}, 'HRV_MeanNN': {'0': 1081.8181818182}, 'HRV_SD1SD2': {'0': 1.0206207262}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 1080}, 'HRV_CSI_Modified': {'0': 57.243340224}}, 'mode': 'hrv', 'uuid': 'd001b70a-b9d9-44b2-b527-f270dad90374', 'device': '6D18B021', 'hr_mean': 72.92, 'message': ''}",2021-06-16 03:22:34.399248+00:00,4
4901,6D18B021,d001b70a-b9d9-44b2-b527-f270dad90374,hrv,,30.0,49.4413232473,75.0,success,success,"{'HRV': {'HRV_S': {'0': 10787.7867828732}, 'HRV_AI': {'0': 79.0582309413}, 'HRV_Ca': {'0': 0.2885832788}, 'HRV_Cd': {'0': 0.7114167212}, 'HRV_GI': {'0': 78.9473684211}, 'HRV_HF': {'0': None}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 22.2222222222}, 'HRV_SI': {'0': 78.8135580039}, 'HRV_C1a': {'0': 0.1454545455}, 'HRV_C1d': {'0': 0.8545454545}, 'HRV_C2a': {'0': 0.3059226628}, 'HRV_C2d': {'0': 0.6940773372}, 'HRV_CSI': {'0': 3.3053189997}, 'HRV_CVI': {'0': 4.7399024641}, 'HRV_HFn': {'0': None}, 'HRV_HTI': {'0': 1.6666666667}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0}, 'HRV_PIP': {'0': 0.4}, 'HRV_PSS': {'0': 0.8}, 'HRV_SD1': {'0': 32.231799343}, 'HRV_SD2': {'0': 106.5363787633}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': None}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.0169955828}, 'HRV_CVNN': {'0': 0.0739714073}, 'HRV_CVSD': {'0': 0.0433695818}, 'HRV_IALS': {'0': 0.5555555556}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': None}, 'HRV_SD1a': {'0': 14.1421356237}, 'HRV_SD1d': {'0': 34.278273002}, 'HRV_SD2a': {'0': 58.9255650989}, 'HRV_SD2d': {'0': 88.7568463713}, 'HRV_SDNN': {'0': 84.3274042712}, 'HRV_SDSD': {'0': 45.5826477706}, 'HRV_TINN': {'0': 220}, 'HRV_IQRNN': {'0': 125}, 'HRV_MCVNN': {'0': 0.0539127273}, 'HRV_MadNN': {'0': 59.304}, 'HRV_RMSSD': {'0': 49.4413232473}, 'HRV_SDNNa': {'0': 42.8498671073}, 'HRV_SDNNd': {'0': 67.2784429731}, 'HRV_pNN20': {'0': 50}, 'HRV_pNN50': {'0': 30}, 'HRV_MeanNN': {'0': 1140}, 'HRV_SD1SD2': {'0': 0.3025426593}, 'HRV_SampEn': {'0': 0.6931471806}, 'HRV_MedianNN': {'0': 1100}, 'HRV_CSI_Modified': {'0': 1408.5468675464}}, 'mode': 'hrv', 'uuid': 'd001b70a-b9d9-44b2-b527-f270dad90374', 'device': '6D18B021', 'hr_mean': 75, 'message': ''}",2021-06-16 03:22:36.153498+00:00,5
4902,6D18B021,d001b70a-b9d9-44b2-b527-f270dad90374,hrv,,0.0,20.0,72.17,success,success,"{'HRV': {'HRV_S': {'0': 643.645625255}, 'HRV_AI': {'0': 42.8250187977}, 'HRV_Ca': {'0': 0.5499627144}, 'HRV_Cd': {'0': 0.4500372856}, 'HRV_GI': {'0': 42.8571428571}, 'HRV_HF': {'0': None}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 66.6666666667}, 'HRV_SI': {'0': 42.8895055275}, 'HRV_C1a': {'0': 0.4444444444}, 'HRV_C1d': {'0': 0.5555555556}, 'HRV_C2a': {'0': 0.6756535948}, 'HRV_C2d': {'0': 0.3243464052}, 'HRV_CSI': {'0': 0.9219544457}, 'HRV_CVI': {'0': 3.5156169317}, 'HRV_HFn': {'0': None}, 'HRV_HTI': {'0': 2}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0}, 'HRV_PIP': {'0': 0.6}, 'HRV_PSS': {'0': 1}, 'HRV_SD1': {'0': 14.90711985}, 'HRV_SD2': {'0': 13.7436854187}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': None}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.4024537674}, 'HRV_CVNN': {'0': 0.0117711431}, 'HRV_CVSD': {'0': 0.0168350168}, 'HRV_IALS': {'0': 0.8333333333}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': None}, 'HRV_SD1a': {'0': 10}, 'HRV_SD1d': {'0': 11.1803398875}, 'HRV_SD2a': {'0': 11.2970552265}, 'HRV_SD2d': {'0': 7.8272237798}, 'HRV_SDNN': {'0': 13.9841179756}, 'HRV_SDSD': {'0': 21.0818510678}, 'HRV_TINN': {'0': 40}, 'HRV_IQRNN': {'0': 20}, 'HRV_MCVNN': {'0': 0.0124588235}, 'HRV_MadNN': {'0': 14.826}, 'HRV_RMSSD': {'0': 20}, 'HRV_SDNNa': {'0': 10.6682579832}, 'HRV_SDNNd': {'0': 9.6505293145}, 'HRV_pNN20': {'0': 10}, 'HRV_pNN50': {'0': 0}, 'HRV_MeanNN': {'0': 1188}, 'HRV_SD1SD2': {'0': 1.0846522891}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 1190}, 'HRV_CSI_Modified': {'0': 50.68420749}}, 'mode': 'hrv', 'uuid': 'd001b70a-b9d9-44b2-b527-f270dad90374', 'device': '6D18B021', 'hr_mean': 72.17, 'message': ''}",2021-06-16 03:22:37.954024+00:00,6
4903,6D18B021,d001b70a-b9d9-44b2-b527-f270dad90374,hrv,,20.0,41.0960933531,68.68,success,success,"{'HRV': {'HRV_S': {'0': 3264.4189676569}, 'HRV_AI': {'0': 43.0668663865}, 'HRV_Ca': {'0': 0.619047619}, 'HRV_Cd': {'0': 0.380952381}, 'HRV_GI': {'0': 42.8571428571}, 'HRV_HF': {'0': None}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 50}, 'HRV_SI': {'0': 42.6429435154}, 'HRV_C1a': {'0': 0.6842105263}, 'HRV_C1d': {'0': 0.3157894737}, 'HRV_C2a': {'0': 0.5652173913}, 'HRV_C2d': {'0': 0.4347826087}, 'HRV_CSI': {'0': 1.1067303515}, 'HRV_CVI': {'0': 4.2207760026}, 'HRV_HFn': {'0': None}, 'HRV_HTI': {'0': 2.5}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.5}, 'HRV_PIP': {'0': 0.7}, 'HRV_PSS': {'0': 1}, 'HRV_SD1': {'0': 30.6412938514}, 'HRV_SD2': {'0': 33.9116499156}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': None}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.1177830357}, 'HRV_CVNN': {'0': 0.0302248761}, 'HRV_CVSD': {'0': 0.0368244564}, 'HRV_IALS': {'0': 0.8333333333}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': None}, 'HRV_SD1a': {'0': 25.495097568}, 'HRV_SD1d': {'0': 17.3205080757}, 'HRV_SD2a': {'0': 25.495097568}, 'HRV_SD2d': {'0': 22.360679775}, 'HRV_SDNN': {'0': 33.7309617085}, 'HRV_SDSD': {'0': 43.3333333333}, 'HRV_TINN': {'0': 100}, 'HRV_IQRNN': {'0': 40}, 'HRV_MCVNN': {'0': 0.0400702703}, 'HRV_MadNN': {'0': 44.478}, 'HRV_RMSSD': {'0': 41.0960933531}, 'HRV_SDNNa': {'0': 25.495097568}, 'HRV_SDNNd': {'0': 20}, 'HRV_pNN20': {'0': 50}, 'HRV_pNN50': {'0': 20}, 'HRV_MeanNN': {'0': 1116}, 'HRV_SD1SD2': {'0': 0.9035624609}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 1110}, 'HRV_CSI_Modified': {'0': 150.1242089288}}, 'mode': 'hrv', 'uuid': 'd001b70a-b9d9-44b2-b527-f270dad90374', 'device': '6D18B021', 'hr_mean': 68.68, 'message': ''}",2021-06-16 03:22:39.761891+00:00,7
4904,6D18B021,d001b70a-b9d9-44b2-b527-f270dad90374,hrv,,0.0,33.0289129538,72.83,success,success,"{'HRV': {'HRV_S': {'0': 5393.7004762367}, 'HRV_AI': {'0': 49.9986718778}, 'HRV_Ca': {'0': 0.4913648357}, 'HRV_Cd': {'0': 0.5086351643}, 'HRV_GI': {'0': 50}, 'HRV_HF': {'0': None}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 44.4444444444}, 'HRV_SI': {'0': 50.001272097}, 'HRV_C1a': {'0': 0.5333333333}, 'HRV_C1d': {'0': 0.4666666667}, 'HRV_C2a': {'0': 0.4862391495}, 'HRV_C2d': {'0': 0.5137608505}, 'HRV_CSI': {'0': 2.8614469745}, 'HRV_CVI': {'0': 4.4388569354}, 'HRV_HFn': {'0': None}, 'HRV_HTI': {'0': 2.4}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0}, 'HRV_PIP': {'0': 0.4166666667}, 'HRV_PSS': {'0': 0.5}, 'HRV_SD1': {'0': 24.4948974278}, 'HRV_SD2': {'0': 70.0908501356}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': None}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.0953101798}, 'HRV_CVNN': {'0': 0.0535454403}, 'HRV_CVSD': {'0': 0.0343454901}, 'HRV_IALS': {'0': 0.4444444444}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': None}, 'HRV_SD1a': {'0': 17.88854382}, 'HRV_SD1d': {'0': 16.7332005307}, 'HRV_SD2a': {'0': 48.8749458371}, 'HRV_SD2d': {'0': 50.2390977442}, 'HRV_SDNN': {'0': 51.4928650544}, 'HRV_SDSD': {'0': 34.6410161514}, 'HRV_TINN': {'0': 160}, 'HRV_IQRNN': {'0': 80}, 'HRV_MCVNN': {'0': 0.0458536082}, 'HRV_MadNN': {'0': 44.478}, 'HRV_RMSSD': {'0': 33.0289129538}, 'HRV_SDNNa': {'0': 36.8019043704}, 'HRV_SDNNd': {'0': 37.4430697336}, 'HRV_pNN20': {'0': 58.3333333333}, 'HRV_pNN50': {'0': 0}, 'HRV_MeanNN': {'0': 961.6666666667}, 'HRV_SD1SD2': {'0': 0.3494735387}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 970}, 'HRV_CSI_Modified': {'0': 802.2450042424}}, 'mode': 'hrv', 'uuid': 'd001b70a-b9d9-44b2-b527-f270dad90374', 'device': '6D18B021', 'hr_mean': 72.83, 'message': ''}",2021-06-16 03:22:41.499629+00:00,8
4905,6D18B021,d001b70a-b9d9-44b2-b527-f270dad90374,hrv,,9.0909090909,38.4707681233,81.38,success,success,"{'HRV': {'HRV_S': {'0': 8543.1041152116}, 'HRV_AI': {'0': 76.6912588634}, 'HRV_Ca': {'0': 0.436693148}, 'HRV_Cd': {'0': 0.563306852}, 'HRV_GI': {'0': 76.9230769231}, 'HRV_HF': {'0': None}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 28.5714285714}, 'HRV_SI': {'0': 77.1124904096}, 'HRV_C1a': {'0': 0.1351351351}, 'HRV_C1d': {'0': 0.8648648649}, 'HRV_C2a': {'0': 0.4606109325}, 'HRV_C2d': {'0': 0.5393890675}, 'HRV_CSI': {'0': 3.8121792036}, 'HRV_CVI': {'0': 4.6385858091}, 'HRV_HFn': {'0': None}, 'HRV_HTI': {'0': 2.75}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0}, 'HRV_PIP': {'0': 0.5454545455}, 'HRV_PSS': {'0': 0.8}, 'HRV_SD1': {'0': 26.708300832}, 'HRV_SD2': {'0': 101.8168289953}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': None}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.0332689205}, 'HRV_CVNN': {'0': 0.073279743}, 'HRV_CVSD': {'0': 0.0379192159}, 'HRV_IALS': {'0': 0.7142857143}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': None}, 'HRV_SD1a': {'0': 10.5409255339}, 'HRV_SD1d': {'0': 26.6666666667}, 'HRV_SD2a': {'0': 69.1013748054}, 'HRV_SD2d': {'0': 74.7774475806}, 'HRV_SDNN': {'0': 74.3456301828}, 'HRV_SDSD': {'0': 37.7712412646}, 'HRV_TINN': {'0': 180}, 'HRV_IQRNN': {'0': 150}, 'HRV_MCVNN': {'0': 0.088956}, 'HRV_MadNN': {'0': 88.956}, 'HRV_RMSSD': {'0': 38.4707681233}, 'HRV_SDNNa': {'0': 49.4272754211}, 'HRV_SDNNd': {'0': 56.1372326437}, 'HRV_pNN20': {'0': 27.2727272727}, 'HRV_pNN50': {'0': 9.0909090909}, 'HRV_MeanNN': {'0': 1014.5454545455}, 'HRV_SD1SD2': {'0': 0.2623171542}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 1000}, 'HRV_CSI_Modified': {'0': 1552.5759922909}}, 'mode': 'hrv', 'uuid': 'd001b70a-b9d9-44b2-b527-f270dad90374', 'device': '6D18B021', 'hr_mean': 81.38, 'message': ''}",2021-06-16 03:22:43.263651+00:00,9
4906,6D18B021,d001b70a-b9d9-44b2-b527-f270dad90374,hrv,,9.0909090909,32.8633534503,80.1,success,success,"{'HRV': {'HRV_S': {'0': 4031.6063043358}, 'HRV_AI': {'0': 81.5202398163}, 'HRV_Ca': {'0': 0.2891512085}, 'HRV_Cd': {'0': 0.7108487915}, 'HRV_GI': {'0': 81.8181818182}, 'HRV_HF': {'0': None}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 33.3333333333}, 'HRV_SI': {'0': 82.1275980728}, 'HRV_C1a': {'0': 0.0740740741}, 'HRV_C1d': {'0': 0.9259259259}, 'HRV_C2a': {'0': 0.3276341948}, 'HRV_C2d': {'0': 0.6723658052}, 'HRV_CSI': {'0': 2.6130545916}, 'HRV_CVI': {'0': 4.3124482256}, 'HRV_HFn': {'0': None}, 'HRV_HTI': {'0': 2.75}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.5}, 'HRV_PIP': {'0': 0.7272727273}, 'HRV_PSS': {'0': 1}, 'HRV_SD1': {'0': 22.1610268515}, 'HRV_SD2': {'0': 57.9079729686}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': None}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.0332689205}, 'HRV_CVNN': {'0': 0.0421209592}, 'HRV_CVSD': {'0': 0.0290592354}, 'HRV_IALS': {'0': 1}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': None}, 'HRV_SD1a': {'0': 6.6666666667}, 'HRV_SD1d': {'0': 23.5702260396}, 'HRV_SD2a': {'0': 33.1461410524}, 'HRV_SD2d': {'0': 47.4833304083}, 'HRV_SDNN': {'0': 47.6349756911}, 'HRV_SDSD': {'0': 31.3404247294}, 'HRV_TINN': {'0': 140}, 'HRV_IQRNN': {'0': 80}, 'HRV_MCVNN': {'0': 0.0520210526}, 'HRV_MadNN': {'0': 59.304}, 'HRV_RMSSD': {'0': 32.8633534503}, 'HRV_SDNNa': {'0': 23.9072281027}, 'HRV_SDNNd': {'0': 37.484811739}, 'HRV_pNN20': {'0': 27.2727272727}, 'HRV_pNN50': {'0': 9.0909090909}, 'HRV_MeanNN': {'0': 1130.9090909091}, 'HRV_SD1SD2': {'0': 0.3826938799}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 1140}, 'HRV_CSI_Modified': {'0': 605.2667786218}}, 'mode': 'hrv', 'uuid': 'd001b70a-b9d9-44b2-b527-f270dad90374', 'device': '6D18B021', 'hr_mean': 80.1, 'message': ''}",2021-06-16 03:22:45.055702+00:00,10
