id,device_code,uuid,mode,mean,hrv_pnn50,hrv_rmssd,hr_mean,status_basic,status_sliding,response_body,created_at,row_number
1327,6D18B021,fa483c82-c0b6-4838-8f5d-067e4b59e19b,hrv,,41.6666666667,82.4621125124,97.82,success,success,"{'HRV': {'HRV_S': {'0': 13635.7264878128}, 'HRV_AI': {'0': 37.6157815345}, 'HRV_Ca': {'0': 0.5748836268}, 'HRV_Cd': {'0': 0.4251163732}, 'HRV_GI': {'0': 37.8378378378}, 'HRV_HF': {'0': 0.0210119039}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 50}, 'HRV_SI': {'0': 38.0570400493}, 'HRV_C1a': {'0': 0.7112299465}, 'HRV_C1d': {'0': 0.2887700535}, 'HRV_C2a': {'0': 0.4776352288}, 'HRV_C2d': {'0': 0.5223647712}, 'HRV_CSI': {'0': 1.2081035428}, 'HRV_CVI': {'0': 4.8416483913}, 'HRV_HFn': {'0': 0.9995627374}, 'HRV_HTI': {'0': 2}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.5}, 'HRV_PIP': {'0': 0.6666666667}, 'HRV_PSS': {'0': 1}, 'HRV_SD1': {'0': 59.9393632993}, 'HRV_SD2': {'0': 72.412957153}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 9.1917e-06}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.0953101798}, 'HRV_CVNN': {'0': 0.0317058789}, 'HRV_CVSD': {'0': 0.0367860725}, 'HRV_IALS': {'0': 0.8}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -3.8626661477}, 'HRV_SD1a': {'0': 51.5751878329}, 'HRV_SD1d': {'0': 32.8633534503}, 'HRV_SD2a': {'0': 50.0454339031}, 'HRV_SD2d': {'0': 52.3363249483}, 'HRV_SDNN': {'0': 71.0740117871}, 'HRV_SDSD': {'0': 84.7670604979}, 'HRV_TINN': {'0': 220}, 'HRV_IQRNN': {'0': 95}, 'HRV_MCVNN': {'0': 0.0333918919}, 'HRV_MadNN': {'0': 74.13}, 'HRV_RMSSD': {'0': 82.4621125124}, 'HRV_SDNNa': {'0': 50.8160676093}, 'HRV_SDNNd': {'0': 43.6983461306}, 'HRV_pNN20': {'0': 75}, 'HRV_pNN50': {'0': 41.6666666667}, 'HRV_MeanNN': {'0': 2241.6666666667}, 'HRV_SD1SD2': {'0': 0.8277436201}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 2220}, 'HRV_CSI_Modified': {'0': 349.9294003142}}, 'mode': 'hrv', 'uuid': 'fa483c82-c0b6-4838-8f5d-067e4b59e19b', 'device': '6D18B021', 'hr_mean': 97.82, 'message': ''}",2021-06-08 09:20:55.481790+00:00,1
1328,6D18B021,fa483c82-c0b6-4838-8f5d-067e4b59e19b,hrv,,62.5,418.2184437189,76.89,success,success,"{'HRV': {'HRV_S': {'0': 416158.0999723916}, 'HRV_AI': {'0': 46.7255049925}, 'HRV_Ca': {'0': 0.6142250782}, 'HRV_Cd': {'0': 0.3857749218}, 'HRV_GI': {'0': 46.1988304094}, 'HRV_HF': {'0': 0.0551027572}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 53.8461538462}, 'HRV_SI': {'0': 45.1692798575}, 'HRV_C1a': {'0': 0.3470041165}, 'HRV_C1d': {'0': 0.6529958835}, 'HRV_C2a': {'0': 0.7476958276}, 'HRV_C2d': {'0': 0.2523041724}, 'HRV_CSI': {'0': 1.4161704743}, 'HRV_CVI': {'0': 6.326228462}, 'HRV_HFn': {'0': 0.9951399394}, 'HRV_HTI': {'0': 2}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.6666666667}, 'HRV_PIP': {'0': 0.6875}, 'HRV_PSS': {'0': 1}, 'HRV_SD1': {'0': 305.8415400482}, 'HRV_SD2': {'0': 433.1237588452}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 0.0002691106}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.2775261336}, 'HRV_CVNN': {'0': 0.1929658555}, 'HRV_CVSD': {'0': 0.218962536}, 'HRV_IALS': {'0': 0.7692307692}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -2.8985555238}, 'HRV_SD1a': {'0': 180.3171808627}, 'HRV_SD1d': {'0': 247.3574625632}, 'HRV_SD2a': {'0': 374.519544068}, 'HRV_SD2d': {'0': 217.5575822335}, 'HRV_SDNN': {'0': 368.5647839933}, 'HRV_SDSD': {'0': 432.5252538732}, 'HRV_TINN': {'0': 1500}, 'HRV_IQRNN': {'0': 180}, 'HRV_MCVNN': {'0': 0.0587168317}, 'HRV_MadNN': {'0': 118.608}, 'HRV_RMSSD': {'0': 418.2184437189}, 'HRV_SDNNa': {'0': 293.9210562406}, 'HRV_SDNNd': {'0': 232.9345571969}, 'HRV_pNN20': {'0': 68.75}, 'HRV_pNN50': {'0': 62.5}, 'HRV_MeanNN': {'0': 1910}, 'HRV_SD1SD2': {'0': 0.7061296773}, 'HRV_SampEn': {'0': 0.9162907319}, 'HRV_MedianNN': {'0': 2020}, 'HRV_CSI_Modified': {'0': 2453.5083160598}}, 'mode': 'hrv', 'uuid': 'fa483c82-c0b6-4838-8f5d-067e4b59e19b', 'device': '6D18B021', 'hr_mean': 76.89, 'message': ''}",2021-06-08 09:21:07.922779+00:00,2
1329,6D18B021,fa483c82-c0b6-4838-8f5d-067e4b59e19b,hrv,,71.4285714286,581.7480289874,79.35,success,success,"{'HRV': {'HRV_S': {'0': 515177.0170566621}, 'HRV_AI': {'0': 43.4879092304}, 'HRV_Ca': {'0': 0.5234548546}, 'HRV_Cd': {'0': 0.4765451454}, 'HRV_GI': {'0': 44.1295546559}, 'HRV_HF': {'0': 0.130848224}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 46.1538461538}, 'HRV_SI': {'0': 45.1942688255}, 'HRV_C1a': {'0': 0.6891535594}, 'HRV_C1d': {'0': 0.3108464406}, 'HRV_C2a': {'0': 0.3176062673}, 'HRV_C2d': {'0': 0.6823937327}, 'HRV_CSI': {'0': 0.8998426363}, 'HRV_CVI': {'0': 6.4189265901}, 'HRV_HFn': {'0': 0.994089706}, 'HRV_HTI': {'0': 3.5}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.3333333333}, 'HRV_PIP': {'0': 0.4285714286}, 'HRV_PSS': {'0': 0.8571428571}, 'HRV_SD1': {'0': 426.8939699017}, 'HRV_SD2': {'0': 384.1373952918}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 0.0007779494}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.0712015629}, 'HRV_CVNN': {'0': 0.200070944}, 'HRV_CVSD': {'0': 0.2867771974}, 'HRV_IALS': {'0': 0.5384615385}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -2.0337172231}, 'HRV_SD1a': {'0': 355.4340070018}, 'HRV_SD1d': {'0': 238.711820682}, 'HRV_SD2a': {'0': 216.4866495376}, 'HRV_SD2d': {'0': 317.3248635602}, 'HRV_SDNN': {'0': 405.858200756}, 'HRV_SDSD': {'0': 603.7192419303}, 'HRV_TINN': {'0': 1540}, 'HRV_IQRNN': {'0': 255}, 'HRV_MCVNN': {'0': 0.09884}, 'HRV_MadNN': {'0': 207.564}, 'HRV_RMSSD': {'0': 581.7480289874}, 'HRV_SDNNa': {'0': 294.2786118301}, 'HRV_SDNNd': {'0': 280.7831924874}, 'HRV_pNN20': {'0': 85.7142857143}, 'HRV_pNN50': {'0': 71.4285714286}, 'HRV_MeanNN': {'0': 2028.5714285714}, 'HRV_SD1SD2': {'0': 1.1113054213}, 'HRV_SampEn': {'0': 0.6931471806}, 'HRV_MedianNN': {'0': 2100}, 'HRV_CSI_Modified': {'0': 1382.6528259043}}, 'mode': 'hrv', 'uuid': 'fa483c82-c0b6-4838-8f5d-067e4b59e19b', 'device': '6D18B021', 'hr_mean': 79.35, 'message': ''}",2021-06-08 09:21:19.212768+00:00,3
1330,6D18B021,fa483c82-c0b6-4838-8f5d-067e4b59e19b,hrv,,85.0,802.7715149799,76.93,success,success,"{'HRV': {'HRV_S': {'0': 1229687.2762456597}, 'HRV_AI': {'0': 49.1207123761}, 'HRV_Ca': {'0': 0.4650797713}, 'HRV_Cd': {'0': 0.5349202287}, 'HRV_GI': {'0': 49.0434782609}, 'HRV_HF': {'0': 0.0593329099}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 50}, 'HRV_SI': {'0': 49.02810973}, 'HRV_C1a': {'0': 0.5076279769}, 'HRV_C1d': {'0': 0.4923720231}, 'HRV_C2a': {'0': 0.4329600854}, 'HRV_C2d': {'0': 0.5670399146}, 'HRV_CSI': {'0': 1.1510658259}, 'HRV_CVI': {'0': 6.7967647893}, 'HRV_HFn': {'0': 0.8977551382}, 'HRV_HTI': {'0': 2.8571428571}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.1666666667}, 'HRV_PIP': {'0': 0.6}, 'HRV_PSS': {'0': 0.9166666667}, 'HRV_SD1': {'0': 583.1393161058}, 'HRV_SD2': {'0': 671.2317385103}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 0.006757394}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.1883072458}, 'HRV_CVNN': {'0': 0.4279673184}, 'HRV_CVSD': {'0': 0.5312849206}, 'HRV_IALS': {'0': 0.6666666667}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -2.8245911537}, 'HRV_SD1a': {'0': 415.5184178295}, 'HRV_SD1d': {'0': 409.2269134193}, 'HRV_SD2a': {'0': 441.6684872521}, 'HRV_SD2d': {'0': 505.4512777232}, 'HRV_SDNN': {'0': 646.6586181449}, 'HRV_SDSD': {'0': 824.6835295898}, 'HRV_TINN': {'0': 1880}, 'HRV_IQRNN': {'0': 1175}, 'HRV_MCVNN': {'0': 0.5152939024}, 'HRV_MadNN': {'0': 845.082}, 'HRV_RMSSD': {'0': 802.7715149799}, 'HRV_SDNNa': {'0': 428.7928451987}, 'HRV_SDNNd': {'0': 459.8628386914}, 'HRV_pNN20': {'0': 90}, 'HRV_pNN50': {'0': 85}, 'HRV_MeanNN': {'0': 1511}, 'HRV_SD1SD2': {'0': 0.8687600461}, 'HRV_SampEn': {'0': 1.6094379124}, 'HRV_MedianNN': {'0': 1640}, 'HRV_CSI_Modified': {'0': 3090.5276618454}}, 'mode': 'hrv', 'uuid': 'fa483c82-c0b6-4838-8f5d-067e4b59e19b', 'device': '6D18B021', 'hr_mean': 76.93, 'message': ''}",2021-06-08 09:21:31.318099+00:00,4
1331,6D18B021,fa483c82-c0b6-4838-8f5d-067e4b59e19b,hrv,,76.4705882353,560.9144319769,73.87,success,success,"{'HRV': {'HRV_S': {'0': 850048.2942289367}, 'HRV_AI': {'0': 50.1865661597}, 'HRV_Ca': {'0': 0.4077868188}, 'HRV_Cd': {'0': 0.5922131812}, 'HRV_GI': {'0': 49.8542274052}, 'HRV_HF': {'0': 0.053312148}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 43.75}, 'HRV_SI': {'0': 49.9009636049}, 'HRV_C1a': {'0': 0.4649980135}, 'HRV_C1d': {'0': 0.5350019865}, 'HRV_C2a': {'0': 0.3857841522}, 'HRV_C2d': {'0': 0.6142158478}, 'HRV_CSI': {'0': 1.6125156111}, 'HRV_CVI': {'0': 6.6364137102}, 'HRV_HFn': {'0': 0.9741218579}, 'HRV_HTI': {'0': 1.7}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.2}, 'HRV_PIP': {'0': 0.4705882353}, 'HRV_PSS': {'0': 0.7777777778}, 'HRV_SD1': {'0': 409.6329657958}, 'HRV_SD2': {'0': 660.5395521844}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 0.0014162698}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.153655186}, 'HRV_CVNN': {'0': 0.3151669468}, 'HRV_CVSD': {'0': 0.3236777102}, 'HRV_IALS': {'0': 0.5625}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -2.9315910555}, 'HRV_SD1a': {'0': 279.3325377873}, 'HRV_SD1d': {'0': 299.6219840621}, 'HRV_SD2a': {'0': 410.2711882605}, 'HRV_SD2d': {'0': 517.6775560939}, 'HRV_SDNN': {'0': 546.165779616}, 'HRV_SDSD': {'0': 579.3084958235}, 'HRV_TINN': {'0': 1600}, 'HRV_IQRNN': {'0': 740}, 'HRV_MCVNN': {'0': 0.14826}, 'HRV_MadNN': {'0': 296.52}, 'HRV_RMSSD': {'0': 560.9144319769}, 'HRV_SDNNa': {'0': 350.9623303029}, 'HRV_SDNNd': {'0': 422.9440775189}, 'HRV_pNN20': {'0': 88.2352941176}, 'HRV_pNN50': {'0': 76.4705882353}, 'HRV_MeanNN': {'0': 1732.9411764706}, 'HRV_SD1SD2': {'0': 0.6201490349}, 'HRV_SampEn': {'0': 1.3862943611}, 'HRV_MedianNN': {'0': 2000}, 'HRV_CSI_Modified': {'0': 4260.5213586984}}, 'mode': 'hrv', 'uuid': 'fa483c82-c0b6-4838-8f5d-067e4b59e19b', 'device': '6D18B021', 'hr_mean': 73.87, 'message': ''}",2021-06-08 09:21:43.341649+00:00,5
1332,6D18B021,fa483c82-c0b6-4838-8f5d-067e4b59e19b,hrv,,76.4705882353,560.9144319769,73.87,success,success,"{'HRV': {'HRV_S': {'0': 850048.2942289367}, 'HRV_AI': {'0': 50.1865661597}, 'HRV_Ca': {'0': 0.4077868188}, 'HRV_Cd': {'0': 0.5922131812}, 'HRV_GI': {'0': 49.8542274052}, 'HRV_HF': {'0': 0.053312148}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 43.75}, 'HRV_SI': {'0': 49.9009636049}, 'HRV_C1a': {'0': 0.4649980135}, 'HRV_C1d': {'0': 0.5350019865}, 'HRV_C2a': {'0': 0.3857841522}, 'HRV_C2d': {'0': 0.6142158478}, 'HRV_CSI': {'0': 1.6125156111}, 'HRV_CVI': {'0': 6.6364137102}, 'HRV_HFn': {'0': 0.9741218579}, 'HRV_HTI': {'0': 1.7}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.2}, 'HRV_PIP': {'0': 0.4705882353}, 'HRV_PSS': {'0': 0.7777777778}, 'HRV_SD1': {'0': 409.6329657958}, 'HRV_SD2': {'0': 660.5395521844}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 0.0014162698}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.153655186}, 'HRV_CVNN': {'0': 0.3151669468}, 'HRV_CVSD': {'0': 0.3236777102}, 'HRV_IALS': {'0': 0.5625}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -2.9315910555}, 'HRV_SD1a': {'0': 279.3325377873}, 'HRV_SD1d': {'0': 299.6219840621}, 'HRV_SD2a': {'0': 410.2711882605}, 'HRV_SD2d': {'0': 517.6775560939}, 'HRV_SDNN': {'0': 546.165779616}, 'HRV_SDSD': {'0': 579.3084958235}, 'HRV_TINN': {'0': 1600}, 'HRV_IQRNN': {'0': 740}, 'HRV_MCVNN': {'0': 0.14826}, 'HRV_MadNN': {'0': 296.52}, 'HRV_RMSSD': {'0': 560.9144319769}, 'HRV_SDNNa': {'0': 350.9623303029}, 'HRV_SDNNd': {'0': 422.9440775189}, 'HRV_pNN20': {'0': 88.2352941176}, 'HRV_pNN50': {'0': 76.4705882353}, 'HRV_MeanNN': {'0': 1732.9411764706}, 'HRV_SD1SD2': {'0': 0.6201490349}, 'HRV_SampEn': {'0': 1.3862943611}, 'HRV_MedianNN': {'0': 2000}, 'HRV_CSI_Modified': {'0': 4260.5213586984}}, 'mode': 'hrv', 'uuid': 'fa483c82-c0b6-4838-8f5d-067e4b59e19b', 'device': '6D18B021', 'hr_mean': 73.87, 'message': ''}",2021-06-08 09:21:46.032778+00:00,6
1333,6D18B021,fa483c82-c0b6-4838-8f5d-067e4b59e19b,hrv,,64.2857142857,102.2816623914,77.53,success,success,"{'HRV': {'HRV_S': {'0': 41727.8988315301}, 'HRV_AI': {'0': 49.9915296295}, 'HRV_Ca': {'0': 0.4166666667}, 'HRV_Cd': {'0': 0.5833333333}, 'HRV_GI': {'0': 50}, 'HRV_HF': {'0': 0.0060293877}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 41.6666666667}, 'HRV_SI': {'0': 50.0072947046}, 'HRV_C1a': {'0': 0.5617647059}, 'HRV_C1d': {'0': 0.4382352941}, 'HRV_C2a': {'0': 0.3902569593}, 'HRV_C2d': {'0': 0.6097430407}, 'HRV_CSI': {'0': 2.3439534225}, 'HRV_CVI': {'0': 5.3273966267}, 'HRV_HFn': {'0': 0.9990371363}, 'HRV_HTI': {'0': 2.8}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.3333333333}, 'HRV_PIP': {'0': 0.5714285714}, 'HRV_PSS': {'0': 0.875}, 'HRV_SD1': {'0': 75.2772652709}, 'HRV_SD2': {'0': 176.4464035715}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 5.8111e-06}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.0800427077}, 'HRV_CVNN': {'0': 0.0641892963}, 'HRV_CVSD': {'0': 0.0502083897}, 'HRV_IALS': {'0': 0.6666666667}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -5.111109818}, 'HRV_SD1a': {'0': 56.421036266}, 'HRV_SD1d': {'0': 49.8330546258}, 'HRV_SD2a': {'0': 110.2270384252}, 'HRV_SD2d': {'0': 137.7800179029}, 'HRV_SDNN': {'0': 130.7627664853}, 'HRV_SDSD': {'0': 106.4581294845}, 'HRV_TINN': {'0': 420}, 'HRV_IQRNN': {'0': 205}, 'HRV_MCVNN': {'0': 0.059304}, 'HRV_MadNN': {'0': 118.608}, 'HRV_RMSSD': {'0': 102.2816623914}, 'HRV_SDNNa': {'0': 87.5595035771}, 'HRV_SDNNd': {'0': 103.6018017861}, 'HRV_pNN20': {'0': 78.5714285714}, 'HRV_pNN50': {'0': 64.2857142857}, 'HRV_MeanNN': {'0': 2037.1428571429}, 'HRV_SD1SD2': {'0': 0.4266296379}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 2000}, 'HRV_CSI_Modified': {'0': 1654.3286061889}}, 'mode': 'hrv', 'uuid': 'fa483c82-c0b6-4838-8f5d-067e4b59e19b', 'device': '6D18B021', 'hr_mean': 77.53, 'message': ''}",2021-06-08 09:21:55.648792+00:00,7
1334,6D18B021,fa483c82-c0b6-4838-8f5d-067e4b59e19b,hrv,,71.4285714286,381.7369210897,78.69,success,success,"{'HRV': {'HRV_S': {'0': 208839.8860065325}, 'HRV_AI': {'0': 30.8812288249}, 'HRV_Ca': {'0': 0.8585653822}, 'HRV_Cd': {'0': 0.1414346178}, 'HRV_GI': {'0': 28.4482758621}, 'HRV_HF': {'0': 0.0183052254}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 46.1538461538}, 'HRV_SI': {'0': 25.3935948978}, 'HRV_C1a': {'0': 0.9617820946}, 'HRV_C1d': {'0': 0.0382179054}, 'HRV_C2a': {'0': 0.7189475214}, 'HRV_C2d': {'0': 0.2810524786}, 'HRV_CSI': {'0': 0.877820889}, 'HRV_CVI': {'0': 6.0267835574}, 'HRV_HFn': {'0': 0.9991329357}, 'HRV_HTI': {'0': 2.8}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.3333333333}, 'HRV_PIP': {'0': 0.5}, 'HRV_PSS': {'0': 0.875}, 'HRV_SD1': {'0': 275.1875817115}, 'HRV_SD2': {'0': 241.5654076101}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 1.58856e-05}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.5300055663}, 'HRV_CVNN': {'0': 0.1570528368}, 'HRV_CVSD': {'0': 0.1832756137}, 'HRV_IALS': {'0': 0.6153846154}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -4.0005687186}, 'HRV_SD1a': {'0': 275.5297927025}, 'HRV_SD1d': {'0': 54.9241901776}, 'HRV_SD2a': {'0': 204.8251768148}, 'HRV_SD2d': {'0': 128.0644099531}, 'HRV_SDNN': {'0': 327.1186228367}, 'HRV_SDSD': {'0': 389.174010253}, 'HRV_TINN': {'0': 1360}, 'HRV_IQRNN': {'0': 135}, 'HRV_MCVNN': {'0': 0.049185782}, 'HRV_MadNN': {'0': 103.782}, 'HRV_RMSSD': {'0': 381.7369210897}, 'HRV_SDNNa': {'0': 242.7653390868}, 'HRV_SDNNd': {'0': 98.5321261399}, 'HRV_pNN20': {'0': 85.7142857143}, 'HRV_pNN50': {'0': 71.4285714286}, 'HRV_MeanNN': {'0': 2082.8571428571}, 'HRV_SD1SD2': {'0': 1.1391845564}, 'HRV_SampEn': {'0': 1.3862943611}, 'HRV_MedianNN': {'0': 2110}, 'HRV_CSI_Modified': {'0': 848.2046434062}}, 'mode': 'hrv', 'uuid': 'fa483c82-c0b6-4838-8f5d-067e4b59e19b', 'device': '6D18B021', 'hr_mean': 78.69, 'message': ''}",2021-06-08 09:22:07.820413+00:00,8
1335,6D18B021,fa483c82-c0b6-4838-8f5d-067e4b59e19b,hrv,,71.4285714286,520.2070593671,74.39,success,success,"{'HRV': {'HRV_S': {'0': 581032.3592427348}, 'HRV_AI': {'0': 47.6653245397}, 'HRV_Ca': {'0': 0.5321689968}, 'HRV_Cd': {'0': 0.4678310032}, 'HRV_GI': {'0': 46.5608465608}, 'HRV_HF': {'0': 0.0825408364}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 50}, 'HRV_SI': {'0': 45.205169391}, 'HRV_C1a': {'0': 0.3721432632}, 'HRV_C1d': {'0': 0.6278567368}, 'HRV_C2a': {'0': 0.6325417202}, 'HRV_C2d': {'0': 0.3674582798}, 'HRV_CSI': {'0': 1.2635960656}, 'HRV_CVI': {'0': 6.47117043}, 'HRV_HFn': {'0': 0.9848974101}, 'HRV_HTI': {'0': 2.3333333333}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.3333333333}, 'HRV_PIP': {'0': 0.7142857143}, 'HRV_PSS': {'0': 1}, 'HRV_SD1': {'0': 382.5789678833}, 'HRV_SD2': {'0': 483.4252786109}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 0.0012656957}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.2875914132}, 'HRV_CVNN': {'0': 0.2110027983}, 'HRV_CVSD': {'0': 0.260848812}, 'HRV_IALS': {'0': 0.8333333333}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -2.4944621219}, 'HRV_SD1a': {'0': 233.5594142825}, 'HRV_SD1d': {'0': 303.3699611585}, 'HRV_SD2a': {'0': 384.4801685393}, 'HRV_SD2d': {'0': 293.0443652419}, 'HRV_SDNN': {'0': 420.7998662934}, 'HRV_SDSD': {'0': 541.0483650593}, 'HRV_TINN': {'0': 1560}, 'HRV_IQRNN': {'0': 90}, 'HRV_MCVNN': {'0': 0.0346401869}, 'HRV_MadNN': {'0': 74.13}, 'HRV_RMSSD': {'0': 520.2070593671}, 'HRV_SDNNa': {'0': 318.0998270983}, 'HRV_SDNNd': {'0': 298.25185107}, 'HRV_pNN20': {'0': 78.5714285714}, 'HRV_pNN50': {'0': 71.4285714286}, 'HRV_MeanNN': {'0': 1994.2857142857}, 'HRV_SD1SD2': {'0': 0.7913921444}, 'HRV_SampEn': {'0': 0.6131044729}, 'HRV_MedianNN': {'0': 2140}, 'HRV_CSI_Modified': {'0': 2443.4171203188}}, 'mode': 'hrv', 'uuid': 'fa483c82-c0b6-4838-8f5d-067e4b59e19b', 'device': '6D18B021', 'hr_mean': 74.39, 'message': ''}",2021-06-08 09:22:18.880409+00:00,9
1336,6D18B021,fa483c82-c0b6-4838-8f5d-067e4b59e19b,hrv,,50.0,386.5030599939,74.6,success,success,"{'HRV': {'HRV_S': {'0': 311096.260801827}, 'HRV_AI': {'0': 21.7515028171}, 'HRV_Ca': {'0': 0.8915555101}, 'HRV_Cd': {'0': 0.1084444899}, 'HRV_GI': {'0': 18.2608695652}, 'HRV_HF': {'0': 0.0057996652}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 50}, 'HRV_SI': {'0': 14.3821103936}, 'HRV_C1a': {'0': 0.9738414006}, 'HRV_C1d': {'0': 0.0261585994}, 'HRV_C2a': {'0': 0.8412516224}, 'HRV_C2d': {'0': 0.1587483776}, 'HRV_CSI': {'0': 1.3366474922}, 'HRV_CVI': {'0': 6.1998649011}, 'HRV_HFn': {'0': 0.9996183408}, 'HRV_HTI': {'0': 2.3333333333}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0}, 'HRV_PIP': {'0': 0.4285714286}, 'HRV_PSS': {'0': 0.6666666667}, 'HRV_SD1': {'0': 272.184891911}, 'HRV_SD2': {'0': 363.8152532008}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 2.2143e-06}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.1794965898}, 'HRV_CVNN': {'0': 0.1989069202}, 'HRV_CVSD': {'0': 0.1871038326}, 'HRV_IALS': {'0': 0.5}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -5.1499550903}, 'HRV_SD1a': {'0': 280.7133769524}, 'HRV_SD1d': {'0': 46.0072458061}, 'HRV_SD2a': {'0': 333.6905137614}, 'HRV_SD2d': {'0': 144.9557845937}, 'HRV_SDNN': {'0': 410.884866631}, 'HRV_SDSD': {'0': 384.9275656136}, 'HRV_TINN': {'0': 1720}, 'HRV_IQRNN': {'0': 215}, 'HRV_MCVNN': {'0': 0.0884119266}, 'HRV_MadNN': {'0': 192.738}, 'HRV_RMSSD': {'0': 386.5030599939}, 'HRV_SDNNa': {'0': 308.341822475}, 'HRV_SDNNd': {'0': 107.5380075923}, 'HRV_pNN20': {'0': 71.4285714286}, 'HRV_pNN50': {'0': 50}, 'HRV_MeanNN': {'0': 2065.7142857143}, 'HRV_SD1SD2': {'0': 0.7481404078}, 'HRV_SampEn': {'0': 0.6061358036}, 'HRV_MedianNN': {'0': 2180}, 'HRV_CSI_Modified': {'0': 1945.1709833301}}, 'mode': 'hrv', 'uuid': 'fa483c82-c0b6-4838-8f5d-067e4b59e19b', 'device': '6D18B021', 'hr_mean': 74.6, 'message': ''}",2021-06-08 09:22:32.081186+00:00,10
