id,device_code,uuid,mode,mean,hrv_pnn50,hrv_rmssd,hr_mean,status_basic,status_sliding,response_body,created_at,row_number
1172,83D5852A,5808579f-e1f9-4d43-8475-423bb7c9d9b4,hrv,,84.6153846154,446.9899327725,78.09,success,success,"{'HRV': {'HRV_S': {'0': 460996.617741944}, 'HRV_AI': {'0': 53.2918734641}, 'HRV_Ca': {'0': 0.3288974885}, 'HRV_Cd': {'0': 0.6711025115}, 'HRV_GI': {'0': 53.6144578313}, 'HRV_HF': {'0': 0.0326424416}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 25}, 'HRV_SI': {'0': 54.2098050894}, 'HRV_C1a': {'0': 0.6107774441}, 'HRV_C1d': {'0': 0.3892225559}, 'HRV_C2a': {'0': 0.1737280353}, 'HRV_C2d': {'0': 0.8262719647}, 'HRV_CSI': {'0': 1.3491621449}, 'HRV_CVI': {'0': 6.370667849}, 'HRV_HFn': {'0': 0.9833210552}, 'HRV_HTI': {'0': 2.6}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.5}, 'HRV_PIP': {'0': 0.4615384615}, 'HRV_PSS': {'0': 0.8571428571}, 'HRV_SD1': {'0': 329.7933237099}, 'HRV_SD2': {'0': 444.9446679934}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 0.0005536762}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.1440376832}, 'HRV_CVNN': {'0': 0.1989228228}, 'HRV_CVSD': {'0': 0.2346877676}, 'HRV_IALS': {'0': 0.5833333333}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -3.4221419483}, 'HRV_SD1a': {'0': 257.9992952774}, 'HRV_SD1d': {'0': 205.9567474451}, 'HRV_SD2a': {'0': 185.4560308913}, 'HRV_SD2d': {'0': 404.4524918724}, 'HRV_SDNN': {'0': 378.8714686323}, 'HRV_SDSD': {'0': 466.3981911707}, 'HRV_TINN': {'0': 1320}, 'HRV_IQRNN': {'0': 240}, 'HRV_MCVNN': {'0': 0.1198060606}, 'HRV_MadNN': {'0': 237.216}, 'HRV_RMSSD': {'0': 446.9899327725}, 'HRV_SDNNa': {'0': 224.674849235}, 'HRV_SDNNd': {'0': 320.9361307176}, 'HRV_pNN20': {'0': 84.6153846154}, 'HRV_pNN50': {'0': 84.6153846154}, 'HRV_MeanNN': {'0': 1904.6153846154}, 'HRV_SD1SD2': {'0': 0.7412007547}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 1980}, 'HRV_CSI_Modified': {'0': 2401.2100105446}}, 'mode': 'hrv', 'uuid': '5808579f-e1f9-4d43-8475-423bb7c9d9b4', 'device': '83D5852A', 'hr_mean': 78.09, 'message': ''}",2021-06-08 08:28:42.657269+00:00,1
1173,83D5852A,5808579f-e1f9-4d43-8475-423bb7c9d9b4,hrv,,83.3333333333,694.1435688081,78.28,success,success,"{'HRV': {'HRV_S': {'0': 989888.3260748838}, 'HRV_AI': {'0': 58.0772125828}, 'HRV_Ca': {'0': 0.3973443047}, 'HRV_Cd': {'0': 0.6026556953}, 'HRV_GI': {'0': 56.8669527897}, 'HRV_HF': {'0': 0.1131849994}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 41.1764705882}, 'HRV_SI': {'0': 55.3481729577}, 'HRV_C1a': {'0': 0.4031155386}, 'HRV_C1d': {'0': 0.5968844614}, 'HRV_C2a': {'0': 0.3935802929}, 'HRV_C2d': {'0': 0.6064197071}, 'HRV_CSI': {'0': 1.2456009271}, 'HRV_CVI': {'0': 6.7025563125}, 'HRV_HFn': {'0': 0.9872986314}, 'HRV_HTI': {'0': 2.5714285714}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0}, 'HRV_PIP': {'0': 0.4444444444}, 'HRV_PSS': {'0': 0.7777777778}, 'HRV_SD1': {'0': 502.9545061873}, 'HRV_SD2': {'0': 626.480599202}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 0.0014560988}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.133248135}, 'HRV_CVNN': {'0': 0.3483174399}, 'HRV_CVSD': {'0': 0.4212604261}, 'HRV_IALS': {'0': 0.5294117647}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -2.1787316362}, 'HRV_SD1a': {'0': 321.2281120948}, 'HRV_SD1d': {'0': 390.8804164959}, 'HRV_SD2a': {'0': 393.0287305592}, 'HRV_SD2d': {'0': 487.858953112}, 'HRV_SDNN': {'0': 573.9497370446}, 'HRV_SDSD': {'0': 711.2850839068}, 'HRV_TINN': {'0': 1700}, 'HRV_IQRNN': {'0': 985}, 'HRV_MCVNN': {'0': 0.37065}, 'HRV_MadNN': {'0': 667.17}, 'HRV_RMSSD': {'0': 694.1435688081}, 'HRV_SDNNa': {'0': 358.928323656}, 'HRV_SDNNd': {'0': 442.0372485049}, 'HRV_pNN20': {'0': 83.3333333333}, 'HRV_pNN50': {'0': 83.3333333333}, 'HRV_MeanNN': {'0': 1647.7777777778}, 'HRV_SD1SD2': {'0': 0.8028253498}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 1800}, 'HRV_CSI_Modified': {'0': 3121.3792607342}}, 'mode': 'hrv', 'uuid': '5808579f-e1f9-4d43-8475-423bb7c9d9b4', 'device': '83D5852A', 'hr_mean': 78.28, 'message': ''}",2021-06-08 08:28:54.630728+00:00,2
1174,83D5852A,5808579f-e1f9-4d43-8475-423bb7c9d9b4,hrv,,75.0,114.7328913766,74.06,success,success,"{'HRV': {'HRV_S': {'0': 46031.9601605319}, 'HRV_AI': {'0': 51.7194746593}, 'HRV_Ca': {'0': 0.4900979462}, 'HRV_Cd': {'0': 0.5099020538}, 'HRV_GI': {'0': 51.7857142857}, 'HRV_HF': {'0': 0.0062224501}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 54.5454545455}, 'HRV_SI': {'0': 51.8481578908}, 'HRV_C1a': {'0': 0.455801105}, 'HRV_C1d': {'0': 0.544198895}, 'HRV_C2a': {'0': 0.4984631319}, 'HRV_C2d': {'0': 0.5015368681}, 'HRV_CSI': {'0': 2.0258510306}, 'HRV_CVI': {'0': 5.3700295786}, 'HRV_HFn': {'0': 0.9975510166}, 'HRV_HTI': {'0': 3}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0}, 'HRV_PIP': {'0': 0.5}, 'HRV_PSS': {'0': 0.8571428571}, 'HRV_SD1': {'0': 85.0454423983}, 'HRV_SD2': {'0': 172.2893971306}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 1.52761e-05}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.0953101798}, 'HRV_CVNN': {'0': 0.0559936304}, 'HRV_CVSD': {'0': 0.0485128505}, 'HRV_IALS': {'0': 0.6363636364}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -5.0795915474}, 'HRV_SD1a': {'0': 57.4456264654}, 'HRV_SD1d': {'0': 62.7694193059}, 'HRV_SD2a': {'0': 121.6396249053}, 'HRV_SD2d': {'0': 122.0140894181}, 'HRV_SDNN': {'0': 132.4249358556}, 'HRV_SDSD': {'0': 120.2724180577}, 'HRV_TINN': {'0': 500}, 'HRV_IQRNN': {'0': 170}, 'HRV_MCVNN': {'0': 0.0565398305}, 'HRV_MadNN': {'0': 133.434}, 'HRV_RMSSD': {'0': 114.7328913766}, 'HRV_SDNNa': {'0': 95.1214969056}, 'HRV_SDNNd': {'0': 97.0243217357}, 'HRV_pNN20': {'0': 83.3333333333}, 'HRV_pNN50': {'0': 75}, 'HRV_MeanNN': {'0': 2365}, 'HRV_SD1SD2': {'0': 0.4936197109}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 2360}, 'HRV_CSI_Modified': {'0': 1396.1306109554}}, 'mode': 'hrv', 'uuid': '5808579f-e1f9-4d43-8475-423bb7c9d9b4', 'device': '83D5852A', 'hr_mean': 74.06, 'message': ''}",2021-06-08 08:29:06.645024+00:00,3
1175,83D5852A,5808579f-e1f9-4d43-8475-423bb7c9d9b4,hrv,,60.0,477.0744176751,69.31,success,success,"{'HRV': {'HRV_S': {'0': 562023.090166072}, 'HRV_AI': {'0': 47.3749775176}, 'HRV_Ca': {'0': 0.4689903453}, 'HRV_Cd': {'0': 0.5310096547}, 'HRV_GI': {'0': 49.0654205607}, 'HRV_HF': {'0': 0.158920798}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 46.1538461538}, 'HRV_SI': {'0': 51.305257267}, 'HRV_C1a': {'0': 0.6390911373}, 'HRV_C1d': {'0': 0.3609088627}, 'HRV_C2a': {'0': 0.3891744584}, 'HRV_C2d': {'0': 0.6108255416}, 'HRV_CSI': {'0': 1.4599556116}, 'HRV_CVI': {'0': 6.4567242685}, 'HRV_HFn': {'0': 0.9600308083}, 'HRV_HTI': {'0': 2.5}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.25}, 'HRV_PIP': {'0': 0.6}, 'HRV_PSS': {'0': 1}, 'HRV_SD1': {'0': 350.0518015041}, 'HRV_SD2': {'0': 511.0600919485}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 0.0066163875}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.2527129707}, 'HRV_CVNN': {'0': 0.2210453996}, 'HRV_CVSD': {'0': 0.246592566}, 'HRV_IALS': {'0': 0.6923076923}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -1.8393493264}, 'HRV_SD1a': {'0': 279.8626036524}, 'HRV_SD1d': {'0': 210.3111248383}, 'HRV_SD2a': {'0': 318.8189547418}, 'HRV_SD2d': {'0': 399.420695107}, 'HRV_SDNN': {'0': 427.6491664014}, 'HRV_SDSD': {'0': 495.0480052202}, 'HRV_TINN': {'0': 1680}, 'HRV_IQRNN': {'0': 280}, 'HRV_MCVNN': {'0': 0.1017470588}, 'HRV_MadNN': {'0': 207.564}, 'HRV_RMSSD': {'0': 477.0744176751}, 'HRV_SDNNa': {'0': 299.9738345471}, 'HRV_SDNNd': {'0': 319.1924661631}, 'HRV_pNN20': {'0': 80}, 'HRV_pNN50': {'0': 60}, 'HRV_MeanNN': {'0': 1934.6666666667}, 'HRV_SD1SD2': {'0': 0.6849523315}, 'HRV_SampEn': {'0': 1.3862943611}, 'HRV_MedianNN': {'0': 2040}, 'HRV_CSI_Modified': {'0': 2984.5001963729}}, 'mode': 'hrv', 'uuid': '5808579f-e1f9-4d43-8475-423bb7c9d9b4', 'device': '83D5852A', 'hr_mean': 69.31, 'message': ''}",2021-06-08 08:29:20.023985+00:00,4
1176,83D5852A,5808579f-e1f9-4d43-8475-423bb7c9d9b4,hrv,,42.8571428571,101.8294199592,77.08,success,success,"{'HRV': {'HRV_S': {'0': 20370.056284438}, 'HRV_AI': {'0': 56.1712622424}, 'HRV_Ca': {'0': 0.4150192439}, 'HRV_Cd': {'0': 0.5849807561}, 'HRV_GI': {'0': 55.8139534884}, 'HRV_HF': {'0': 0.0670222892}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 40}, 'HRV_SI': {'0': 55.4679672953}, 'HRV_C1a': {'0': 0.4777448071}, 'HRV_C1d': {'0': 0.5222551929}, 'HRV_C2a': {'0': 0.3682207608}, 'HRV_C2d': {'0': 0.6317792392}, 'HRV_CSI': {'0': 1.1610450946}, 'HRV_CVI': {'0': 5.015962339}, 'HRV_HFn': {'0': 0.9994791307}, 'HRV_HTI': {'0': 3.5}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.5}, 'HRV_PIP': {'0': 0.7142857143}, 'HRV_PSS': {'0': 1}, 'HRV_SD1': {'0': 74.7302842535}, 'HRV_SD2': {'0': 86.7652299496}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 3.4928e-05}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.0800427077}, 'HRV_CVNN': {'0': 0.0388128029}, 'HRV_CVSD': {'0': 0.0481625635}, 'HRV_IALS': {'0': 0.8}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -2.7027300402}, 'HRV_SD1a': {'0': 51.8009008931}, 'HRV_SD1d': {'0': 54.1602560309}, 'HRV_SD2a': {'0': 52.6501796779}, 'HRV_SD2d': {'0': 68.9649455019}, 'HRV_SDNN': {'0': 82.0613546931}, 'HRV_SDSD': {'0': 105.6845815114}, 'HRV_TINN': {'0': 360}, 'HRV_IQRNN': {'0': 35}, 'HRV_MCVNN': {'0': 0.0139867925}, 'HRV_MadNN': {'0': 29.652}, 'HRV_RMSSD': {'0': 101.8294199592}, 'HRV_SDNNa': {'0': 52.2272666021}, 'HRV_SDNNd': {'0': 62.0060361635}, 'HRV_pNN20': {'0': 64.2857142857}, 'HRV_pNN50': {'0': 42.8571428571}, 'HRV_MeanNN': {'0': 2114.2857142857}, 'HRV_SD1SD2': {'0': 0.8612929891}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 2120}, 'HRV_CSI_Modified': {'0': 402.9533784544}}, 'mode': 'hrv', 'uuid': '5808579f-e1f9-4d43-8475-423bb7c9d9b4', 'device': '83D5852A', 'hr_mean': 77.08, 'message': ''}",2021-06-08 08:29:30.796731+00:00,5
1177,83D5852A,5808579f-e1f9-4d43-8475-423bb7c9d9b4,hrv,,61.5384615385,96.0902353693,76.44,success,success,"{'HRV': {'HRV_S': {'0': 26437.1105908793}, 'HRV_AI': {'0': 57.28204161}, 'HRV_Ca': {'0': 0.4718342096}, 'HRV_Cd': {'0': 0.5281657904}, 'HRV_GI': {'0': 57.4468085106}, 'HRV_HF': {'0': 0.0102274726}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 60}, 'HRV_SI': {'0': 57.6098661943}, 'HRV_C1a': {'0': 0.3176895307}, 'HRV_C1d': {'0': 0.6823104693}, 'HRV_C2a': {'0': 0.526232438}, 'HRV_C2d': {'0': 0.473767562}, 'HRV_CSI': {'0': 1.6958863566}, 'HRV_CVI': {'0': 5.1291840977}, 'HRV_HFn': {'0': 0.9995300432}, 'HRV_HTI': {'0': 3.25}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0}, 'HRV_PIP': {'0': 0.5384615385}, 'HRV_PSS': {'0': 0.8333333333}, 'HRV_SD1': {'0': 70.442325431}, 'HRV_SD2': {'0': 119.4621786224}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 4.8087e-06}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.087011377}, 'HRV_CVNN': {'0': 0.0424014151}, 'HRV_CVSD': {'0': 0.0415283597}, 'HRV_IALS': {'0': 0.6}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -4.5826777871}, 'HRV_SD1a': {'0': 40}, 'HRV_SD1d': {'0': 58.6205052551}, 'HRV_SD2a': {'0': 86.6601104746}, 'HRV_SD2d': {'0': 82.2267436649}, 'HRV_SDNN': {'0': 98.1103512665}, 'HRV_SDSD': {'0': 99.6204919896}, 'HRV_TINN': {'0': 300}, 'HRV_IQRNN': {'0': 120}, 'HRV_MCVNN': {'0': 0.0383431034}, 'HRV_MadNN': {'0': 88.956}, 'HRV_RMSSD': {'0': 96.0902353693}, 'HRV_SDNNa': {'0': 67.4906465648}, 'HRV_SDNNd': {'0': 71.4058856471}, 'HRV_pNN20': {'0': 69.2307692308}, 'HRV_pNN50': {'0': 61.5384615385}, 'HRV_MeanNN': {'0': 2313.8461538462}, 'HRV_SD1SD2': {'0': 0.5896621529}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 2320}, 'HRV_CSI_Modified': {'0': 810.3771154006}}, 'mode': 'hrv', 'uuid': '5808579f-e1f9-4d43-8475-423bb7c9d9b4', 'device': '83D5852A', 'hr_mean': 76.44, 'message': ''}",2021-06-08 08:29:42.672499+00:00,6
1178,83D5852A,5808579f-e1f9-4d43-8475-423bb7c9d9b4,hrv,,69.2307692308,124.7664484814,69.83,success,success,"{'HRV': {'HRV_S': {'0': 34467.6868020195}, 'HRV_AI': {'0': 41.3296585014}, 'HRV_Ca': {'0': 0.4994066064}, 'HRV_Cd': {'0': 0.5005933936}, 'HRV_GI': {'0': 41.2698412698}, 'HRV_HF': {'0': 0.0275165884}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 50}, 'HRV_SI': {'0': 41.2153947234}, 'HRV_C1a': {'0': 0.6316916488}, 'HRV_C1d': {'0': 0.3683083512}, 'HRV_C2a': {'0': 0.4218864373}, 'HRV_C2d': {'0': 0.5781135627}, 'HRV_CSI': {'0': 1.3206506667}, 'HRV_CVI': {'0': 5.2443822479}, 'HRV_HFn': {'0': 0.9984477223}, 'HRV_HTI': {'0': 3.25}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0}, 'HRV_PIP': {'0': 0.5384615385}, 'HRV_PSS': {'0': 0.875}, 'HRV_SD1': {'0': 91.1459036796}, 'HRV_SD2': {'0': 120.3718984622}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 4.27798e-05}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.1440376832}, 'HRV_CVNN': {'0': 0.0458246157}, 'HRV_CVSD': {'0': 0.0532140364}, 'HRV_IALS': {'0': 0.6666666667}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -3.5929662426}, 'HRV_SD1a': {'0': 73.2368511314}, 'HRV_SD1d': {'0': 55.9220236336}, 'HRV_SD2a': {'0': 78.1849012782}, 'HRV_SD2d': {'0': 91.5233038713}, 'HRV_SDNN': {'0': 107.44109895}, 'HRV_SDSD': {'0': 128.8997731385}, 'HRV_TINN': {'0': 340}, 'HRV_IQRNN': {'0': 180}, 'HRV_MCVNN': {'0': 0.0633589744}, 'HRV_MadNN': {'0': 148.26}, 'HRV_RMSSD': {'0': 124.7664484814}, 'HRV_SDNNa': {'0': 75.7512876178}, 'HRV_SDNNd': {'0': 75.8412416789}, 'HRV_pNN20': {'0': 69.2307692308}, 'HRV_pNN50': {'0': 69.2307692308}, 'HRV_MeanNN': {'0': 2344.6153846154}, 'HRV_SD1SD2': {'0': 0.7572025103}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 2340}, 'HRV_CSI_Modified': {'0': 635.876911828}}, 'mode': 'hrv', 'uuid': '5808579f-e1f9-4d43-8475-423bb7c9d9b4', 'device': '83D5852A', 'hr_mean': 69.83, 'message': ''}",2021-06-08 08:29:54.665020+00:00,7
1179,83D5852A,5808579f-e1f9-4d43-8475-423bb7c9d9b4,hrv,,76.9230769231,522.9404045077,69.25,success,success,"{'HRV': {'HRV_S': {'0': 601671.0561313177}, 'HRV_AI': {'0': 55.5638803368}, 'HRV_Ca': {'0': 0.6468196229}, 'HRV_Cd': {'0': 0.3531803771}, 'HRV_GI': {'0': 54.3010752688}, 'HRV_HF': {'0': 0.0079893805}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 50}, 'HRV_SI': {'0': 52.7364911378}, 'HRV_C1a': {'0': 0.4057776694}, 'HRV_C1d': {'0': 0.5942223306}, 'HRV_C2a': {'0': 0.792657145}, 'HRV_C2d': {'0': 0.207342855}, 'HRV_CSI': {'0': 1.2872920193}, 'HRV_CVI': {'0': 6.4863292299}, 'HRV_HFn': {'0': 0.9985772746}, 'HRV_HTI': {'0': 1.8571428571}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0}, 'HRV_PIP': {'0': 0.4615384615}, 'HRV_PSS': {'0': 0.8571428571}, 'HRV_SD1': {'0': 385.7146063811}, 'HRV_SD2': {'0': 496.527334534}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 1.13829e-05}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.2588752363}, 'HRV_CVNN': {'0': 0.1902762186}, 'HRV_CVSD': {'0': 0.2309179775}, 'HRV_IALS': {'0': 0.5833333333}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -4.8296420626}, 'HRV_SD1a': {'0': 246.0229109804}, 'HRV_SD1d': {'0': 297.7185980693}, 'HRV_SD2a': {'0': 442.0647148566}, 'HRV_SD2d': {'0': 226.0933033466}, 'HRV_SDNN': {'0': 430.9024519273}, 'HRV_SDSD': {'0': 545.4828275496}, 'HRV_TINN': {'0': 1380}, 'HRV_IQRNN': {'0': 240}, 'HRV_MCVNN': {'0': 0.0735173554}, 'HRV_MadNN': {'0': 177.912}, 'HRV_RMSSD': {'0': 522.9404045077}, 'HRV_SDNNa': {'0': 357.7348772824}, 'HRV_SDNNd': {'0': 264.3430966136}, 'HRV_pNN20': {'0': 84.6153846154}, 'HRV_pNN50': {'0': 76.9230769231}, 'HRV_MeanNN': {'0': 2264.6153846154}, 'HRV_SD1SD2': {'0': 0.7768245161}, 'HRV_SampEn': {'0': 1.6094379124}, 'HRV_MedianNN': {'0': 2420}, 'HRV_CSI_Modified': {'0': 2556.7027005016}}, 'mode': 'hrv', 'uuid': '5808579f-e1f9-4d43-8475-423bb7c9d9b4', 'device': '83D5852A', 'hr_mean': 69.25, 'message': ''}",2021-06-08 08:30:06.793716+00:00,8
1180,83D5852A,5808579f-e1f9-4d43-8475-423bb7c9d9b4,hrv,,85.7142857143,506.298786823,66.81,success,success,"{'HRV': {'HRV_S': {'0': 527970.880891891}, 'HRV_AI': {'0': 49.6107247317}, 'HRV_Ca': {'0': 0.3168107603}, 'HRV_Cd': {'0': 0.6831892397}, 'HRV_GI': {'0': 50.2702702703}, 'HRV_HF': {'0': 0.012358662}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 46.1538461538}, 'HRV_SI': {'0': 50.9958322175}, 'HRV_C1a': {'0': 0.6054495259}, 'HRV_C1d': {'0': 0.3945504741}, 'HRV_C2a': {'0': 0.1197853589}, 'HRV_C2d': {'0': 0.8802146411}, 'HRV_CSI': {'0': 1.2103702035}, 'HRV_CVI': {'0': 6.4295800806}, 'HRV_HFn': {'0': 0.9988061171}, 'HRV_HTI': {'0': 2.3333333333}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.3333333333}, 'HRV_PIP': {'0': 0.5}, 'HRV_PSS': {'0': 0.875}, 'HRV_SD1': {'0': 372.6240973806}, 'HRV_SD2': {'0': 451.013104591}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 1.47724e-05}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.3022506231}, 'HRV_CVNN': {'0': 0.1823927872}, 'HRV_CVSD': {'0': 0.2289464798}, 'HRV_IALS': {'0': 0.6153846154}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -4.3933980817}, 'HRV_SD1a': {'0': 289.9425230398}, 'HRV_SD1d': {'0': 234.0583972716}, 'HRV_SD2a': {'0': 156.0957325234}, 'HRV_SD2d': {'0': 423.1393893279}, 'HRV_SDNN': {'0': 403.3486207862}, 'HRV_SDSD': {'0': 526.9700521827}, 'HRV_TINN': {'0': 1400}, 'HRV_IQRNN': {'0': 215}, 'HRV_MCVNN': {'0': 0.0766862069}, 'HRV_MadNN': {'0': 177.912}, 'HRV_RMSSD': {'0': 506.298786823}, 'HRV_SDNNa': {'0': 232.8438794329}, 'HRV_SDNNd': {'0': 341.9285569634}, 'HRV_pNN20': {'0': 85.7142857143}, 'HRV_pNN50': {'0': 85.7142857143}, 'HRV_MeanNN': {'0': 2211.4285714286}, 'HRV_SD1SD2': {'0': 0.8261935043}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 2320}, 'HRV_CSI_Modified': {'0': 2183.5712928147}}, 'mode': 'hrv', 'uuid': '5808579f-e1f9-4d43-8475-423bb7c9d9b4', 'device': '83D5852A', 'hr_mean': 66.81, 'message': ''}",2021-06-08 08:30:18.855768+00:00,9
1181,83D5852A,5808579f-e1f9-4d43-8475-423bb7c9d9b4,hrv,,76.9230769231,205.1016008389,68.06,success,success,"{'HRV': {'HRV_S': {'0': 51394.215038886}, 'HRV_AI': {'0': 48.9691473045}, 'HRV_Ca': {'0': 0.4896690597}, 'HRV_Cd': {'0': 0.5103309403}, 'HRV_GI': {'0': 48.8888888889}, 'HRV_HF': {'0': 0.0453378586}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 50}, 'HRV_SI': {'0': 48.8101467765}, 'HRV_C1a': {'0': 0.4057052298}, 'HRV_C1d': {'0': 0.5942947702}, 'HRV_C2a': {'0': 0.6548051948}, 'HRV_C2d': {'0': 0.3451948052}, 'HRV_CSI': {'0': 0.7131525263}, 'HRV_CVI': {'0': 5.4178843473}, 'HRV_HFn': {'0': 0.9981229661}, 'HRV_HTI': {'0': 2.1666666667}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.3333333333}, 'HRV_PIP': {'0': 0.6923076923}, 'HRV_PSS': {'0': 1}, 'HRV_SD1': {'0': 151.457564814}, 'HRV_SD2': {'0': 108.0123449735}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 8.52607e-05}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.087011377}, 'HRV_CVNN': {'0': 0.0557459214}, 'HRV_CVSD': {'0': 0.0905064769}, 'HRV_IALS': {'0': 0.8333333333}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -3.0936128653}, 'HRV_SD1a': {'0': 96.4836302649}, 'HRV_SD1d': {'0': 116.7748416242}, 'HRV_SD2a': {'0': 87.4036265803}, 'HRV_SD2d': {'0': 63.4607967746}, 'HRV_SDNN': {'0': 126.3288342342}, 'HRV_SDSD': {'0': 214.193342284}, 'HRV_TINN': {'0': 520}, 'HRV_IQRNN': {'0': 120}, 'HRV_MCVNN': {'0': 0.026240708}, 'HRV_MadNN': {'0': 59.304}, 'HRV_RMSSD': {'0': 205.1016008389}, 'HRV_SDNNa': {'0': 92.0556485189}, 'HRV_SDNNd': {'0': 93.9777536538}, 'HRV_pNN20': {'0': 92.3076923077}, 'HRV_pNN50': {'0': 76.9230769231}, 'HRV_MeanNN': {'0': 2266.1538461538}, 'HRV_SD1SD2': {'0': 1.4022245777}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 2260}, 'HRV_CSI_Modified': {'0': 308.1171067551}}, 'mode': 'hrv', 'uuid': '5808579f-e1f9-4d43-8475-423bb7c9d9b4', 'device': '83D5852A', 'hr_mean': 68.06, 'message': ''}",2021-06-08 08:30:30.866819+00:00,10
