id,device_code,uuid,mode,mean,hrv_pnn50,hrv_rmssd,hr_mean,status_basic,status_sliding,response_body,created_at,row_number
1290,83D5852A,c7c4ea7c-1b44-4080-85fc-212cd6bfd371,hrv,,58.3333333333,95.9166304663,69.08,success,success,"{'HRV': {'HRV_S': {'0': 18181.3279571324}, 'HRV_AI': {'0': 37.1588126624}, 'HRV_Ca': {'0': 0.6594323873}, 'HRV_Cd': {'0': 0.3405676127}, 'HRV_GI': {'0': 37.2093023256}, 'HRV_HF': {'0': 0.0273560829}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 66.6666666667}, 'HRV_SI': {'0': 37.2577786287}, 'HRV_C1a': {'0': 0.5652173913}, 'HRV_C1d': {'0': 0.4347826087}, 'HRV_C2a': {'0': 0.7283236994}, 'HRV_C2d': {'0': 0.2716763006}, 'HRV_CSI': {'0': 1.1957224035}, 'HRV_CVI': {'0': 4.9665957107}, 'HRV_HFn': {'0': 0.9995895016}, 'HRV_HTI': {'0': 3}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0}, 'HRV_PIP': {'0': 0.5}, 'HRV_PSS': {'0': 1}, 'HRV_SD1': {'0': 69.5701085237}, 'HRV_SD2': {'0': 83.1865373723}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 1.12342e-05}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.0953101798}, 'HRV_CVNN': {'0': 0.0354448918}, 'HRV_CVSD': {'0': 0.0419154977}, 'HRV_IALS': {'0': 0.5555555556}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -3.5988163647}, 'HRV_SD1a': {'0': 53.4789678285}, 'HRV_SD1d': {'0': 46.9041575982}, 'HRV_SD2a': {'0': 70.9929573972}, 'HRV_SD2d': {'0': 43.3589667774}, 'HRV_SDNN': {'0': 81.1097273993}, 'HRV_SDSD': {'0': 98.38699101}, 'HRV_TINN': {'0': 240}, 'HRV_IQRNN': {'0': 125}, 'HRV_MCVNN': {'0': 0.025562069}, 'HRV_MadNN': {'0': 59.304}, 'HRV_RMSSD': {'0': 95.9166304663}, 'HRV_SDNNa': {'0': 62.8490254499}, 'HRV_SDNNd': {'0': 45.1663591625}, 'HRV_pNN20': {'0': 66.6666666667}, 'HRV_pNN50': {'0': 58.3333333333}, 'HRV_MeanNN': {'0': 2288.3333333333}, 'HRV_SD1SD2': {'0': 0.8363145134}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 2320}, 'HRV_CSI_Modified': {'0': 397.8720256066}}, 'mode': 'hrv', 'uuid': 'c7c4ea7c-1b44-4080-85fc-212cd6bfd371', 'device': '83D5852A', 'hr_mean': 69.08, 'message': ''}",2021-06-08 08:55:35.696985+00:00,1
1291,83D5852A,c7c4ea7c-1b44-4080-85fc-212cd6bfd371,hrv,,53.8461538462,436.2720863559,71.57,success,success,"{'HRV': {'HRV_S': {'0': 294526.2704597131}, 'HRV_AI': {'0': 28.2397763138}, 'HRV_Ca': {'0': 0.9260632726}, 'HRV_Cd': {'0': 0.0739367274}, 'HRV_GI': {'0': 25}, 'HRV_HF': {'0': 0.0110941002}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 45.4545454545}, 'HRV_SI': {'0': 21.0540693681}, 'HRV_C1a': {'0': 0.9690017513}, 'HRV_C1d': {'0': 0.0309982487}, 'HRV_C2a': {'0': 0.8759927388}, 'HRV_C2d': {'0': 0.1240072612}, 'HRV_CSI': {'0': 0.9496502486}, 'HRV_CVI': {'0': 6.176094148}, 'HRV_HFn': {'0': 0.9978320346}, 'HRV_HTI': {'0': 2.1666666667}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.3333333333}, 'HRV_PIP': {'0': 0.4615384615}, 'HRV_PSS': {'0': 0.8333333333}, 'HRV_SD1': {'0': 314.1993190973}, 'HRV_SD2': {'0': 298.3794614753}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 2.41039e-05}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.2906371869}, 'HRV_CVNN': {'0': 0.1819284827}, 'HRV_CVSD': {'0': 0.1959757126}, 'HRV_IALS': {'0': 0.5454545455}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -4.5013418277}, 'HRV_SD1a': {'0': 317.1750305431}, 'HRV_SD1d': {'0': 56.7290209521}, 'HRV_SD2a': {'0': 279.2667165809}, 'HRV_SD2d': {'0': 105.0733269693}, 'HRV_SDNN': {'0': 405.0007913889}, 'HRV_SDSD': {'0': 444.3449383558}, 'HRV_TINN': {'0': 1560}, 'HRV_IQRNN': {'0': 120}, 'HRV_MCVNN': {'0': 0.0380153846}, 'HRV_MadNN': {'0': 88.956}, 'HRV_RMSSD': {'0': 436.2720863559}, 'HRV_SDNNa': {'0': 298.8226053948}, 'HRV_SDNNd': {'0': 84.4351403699}, 'HRV_pNN20': {'0': 76.9230769231}, 'HRV_pNN50': {'0': 53.8461538462}, 'HRV_MeanNN': {'0': 2226.1538461538}, 'HRV_SD1SD2': {'0': 1.0530192579}, 'HRV_SampEn': {'0': 0.6359887667}, 'HRV_MedianNN': {'0': 2340}, 'HRV_CSI_Modified': {'0': 1133.4245190102}}, 'mode': 'hrv', 'uuid': 'c7c4ea7c-1b44-4080-85fc-212cd6bfd371', 'device': '83D5852A', 'hr_mean': 71.57, 'message': ''}",2021-06-08 08:55:46.783025+00:00,2
1292,83D5852A,c7c4ea7c-1b44-4080-85fc-212cd6bfd371,hrv,,60.0,486.7677651025,68.68,success,success,"{'HRV': {'HRV_S': {'0': 789217.8278061601}, 'HRV_AI': {'0': 49.9978666066}, 'HRV_Ca': {'0': 0.6141215977}, 'HRV_Cd': {'0': 0.3858784023}, 'HRV_GI': {'0': 49.7326203209}, 'HRV_HF': {'0': 0.0127409866}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 57.1428571429}, 'HRV_SI': {'0': 49.2250268402}, 'HRV_C1a': {'0': 0.474617147}, 'HRV_C1d': {'0': 0.525382853}, 'HRV_C2a': {'0': 0.6501037312}, 'HRV_C2d': {'0': 0.3498962688}, 'HRV_CSI': {'0': 1.9690305132}, 'HRV_CVI': {'0': 6.604166997}, 'HRV_HFn': {'0': 0.9952276442}, 'HRV_HTI': {'0': 1.3636363636}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0}, 'HRV_PIP': {'0': 0.5333333333}, 'HRV_PSS': {'0': 0.7777777778}, 'HRV_SD1': {'0': 357.1883487511}, 'HRV_SD2': {'0': 703.3147576666}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 6.10961e-05}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.3726039149}, 'HRV_CVNN': {'0': 0.2607489045}, 'HRV_CVSD': {'0': 0.2319414383}, 'HRV_IALS': {'0': 0.6428571429}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -4.3629311893}, 'HRV_SD1a': {'0': 246.0769110539}, 'HRV_SD1d': {'0': 258.9030112431}, 'HRV_SD2a': {'0': 567.0757288587}, 'HRV_SD2d': {'0': 416.0249584953}, 'HRV_SDNN': {'0': 547.2250342366}, 'HRV_SDSD': {'0': 505.1406071254}, 'HRV_TINN': {'0': 1460}, 'HRV_IQRNN': {'0': 580}, 'HRV_MCVNN': {'0': 0.04942}, 'HRV_MadNN': {'0': 118.608}, 'HRV_RMSSD': {'0': 486.7677651025}, 'HRV_SDNNa': {'0': 437.1090987468}, 'HRV_SDNNd': {'0': 346.4877597563}, 'HRV_pNN20': {'0': 73.3333333333}, 'HRV_pNN50': {'0': 60}, 'HRV_MeanNN': {'0': 2098.6666666667}, 'HRV_SD1SD2': {'0': 0.507864146}, 'HRV_SampEn': {'0': 0.6931471806}, 'HRV_MedianNN': {'0': 2400}, 'HRV_CSI_Modified': {'0': 5539.3928730456}}, 'mode': 'hrv', 'uuid': 'c7c4ea7c-1b44-4080-85fc-212cd6bfd371', 'device': '83D5852A', 'hr_mean': 68.68, 'message': ''}",2021-06-08 08:55:59.691230+00:00,3
1293,83D5852A,c7c4ea7c-1b44-4080-85fc-212cd6bfd371,hrv,,61.5384615385,68.7992248018,67.98,success,success,"{'HRV': {'HRV_S': {'0': 25418.5758850659}, 'HRV_AI': {'0': 41.6468531727}, 'HRV_Ca': {'0': 0.4695035461}, 'HRV_Cd': {'0': 0.5304964539}, 'HRV_GI': {'0': 41.6666666667}, 'HRV_HF': {'0': 0.0023703286}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 54.5454545455}, 'HRV_SI': {'0': 41.7050784967}, 'HRV_C1a': {'0': 0.6126760563}, 'HRV_C1d': {'0': 0.3873239437}, 'HRV_C2a': {'0': 0.4552331929}, 'HRV_C2d': {'0': 0.5447668071}, 'HRV_CSI': {'0': 3.201468488}, 'HRV_CVI': {'0': 5.1121213248}, 'HRV_HFn': {'0': 0.9979368961}, 'HRV_HTI': {'0': 2.6}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0}, 'HRV_PIP': {'0': 0.4615384615}, 'HRV_PSS': {'0': 0.8333333333}, 'HRV_SD1': {'0': 50.2719875007}, 'HRV_SD2': {'0': 160.9441838124}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 4.9003e-06}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.0285131531}, 'HRV_CVNN': {'0': 0.0517408189}, 'HRV_CVSD': {'0': 0.030798551}, 'HRV_IALS': {'0': 0.5454545455}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -6.0447266849}, 'HRV_SD1a': {'0': 39.7720779168}, 'HRV_SD1d': {'0': 31.6227766017}, 'HRV_SD2a': {'0': 108.5906036079}, 'HRV_SD2d': {'0': 118.7901978747}, 'HRV_SDNN': {'0': 115.5810294078}, 'HRV_SDSD': {'0': 71.095326531}, 'HRV_TINN': {'0': 360}, 'HRV_IQRNN': {'0': 180}, 'HRV_MCVNN': {'0': 0.0673909091}, 'HRV_MadNN': {'0': 148.26}, 'HRV_RMSSD': {'0': 68.7992248018}, 'HRV_SDNNa': {'0': 81.7732761168}, 'HRV_SDNNd': {'0': 86.922698736}, 'HRV_pNN20': {'0': 69.2307692308}, 'HRV_pNN50': {'0': 61.5384615385}, 'HRV_MeanNN': {'0': 2233.8461538462}, 'HRV_SD1SD2': {'0': 0.3123566587}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 2200}, 'HRV_CSI_Modified': {'0': 2061.0309312047}}, 'mode': 'hrv', 'uuid': 'c7c4ea7c-1b44-4080-85fc-212cd6bfd371', 'device': '83D5852A', 'hr_mean': 67.98, 'message': ''}",2021-06-08 08:56:11.692195+00:00,4
1294,83D5852A,c7c4ea7c-1b44-4080-85fc-212cd6bfd371,hrv,,69.2307692308,423.4383071948,71.59,success,success,"{'HRV': {'HRV_S': {'0': 263373.4031853156}, 'HRV_AI': {'0': 28.1961202567}, 'HRV_Ca': {'0': 0.8608165983}, 'HRV_Cd': {'0': 0.1391834017}, 'HRV_GI': {'0': 25.6}, 'HRV_HF': {'0': 0.0071698439}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 41.6666666667}, 'HRV_SI': {'0': 22.4385731779}, 'HRV_C1a': {'0': 0.964305633}, 'HRV_C1d': {'0': 0.035694367}, 'HRV_C2a': {'0': 0.728095011}, 'HRV_C2d': {'0': 0.271904989}, 'HRV_CSI': {'0': 0.9096400657}, 'HRV_CVI': {'0': 6.1275420255}, 'HRV_HFn': {'0': 0.9985392767}, 'HRV_HTI': {'0': 1.8571428571}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0}, 'HRV_PIP': {'0': 0.3846153846}, 'HRV_PSS': {'0': 0.6666666667}, 'HRV_SD1': {'0': 303.582149034}, 'HRV_SD2': {'0': 276.1504859838}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 1.04885e-05}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.3504262603}, 'HRV_CVNN': {'0': 0.1657481331}, 'HRV_CVSD': {'0': 0.1881304851}, 'HRV_IALS': {'0': 0.5}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -4.9378714005}, 'HRV_SD1a': {'0': 307.0978523355}, 'HRV_SD1d': {'0': 59.0839156701}, 'HRV_SD2a': {'0': 235.6350220921}, 'HRV_SD2d': {'0': 143.9973168942}, 'HRV_SDNN': {'0': 373.0607979597}, 'HRV_SDSD': {'0': 429.3299924583}, 'HRV_TINN': {'0': 1420}, 'HRV_IQRNN': {'0': 220}, 'HRV_MCVNN': {'0': 0.0628220339}, 'HRV_MadNN': {'0': 148.26}, 'HRV_RMSSD': {'0': 423.4383071948}, 'HRV_SDNNa': {'0': 273.7087453348}, 'HRV_SDNNd': {'0': 110.0593847967}, 'HRV_pNN20': {'0': 84.6153846154}, 'HRV_pNN50': {'0': 69.2307692308}, 'HRV_MeanNN': {'0': 2250.7692307692}, 'HRV_SD1SD2': {'0': 1.0993359217}, 'HRV_SampEn': {'0': 1.7917594692}, 'HRV_MedianNN': {'0': 2360}, 'HRV_CSI_Modified': {'0': 1004.7901848213}}, 'mode': 'hrv', 'uuid': 'c7c4ea7c-1b44-4080-85fc-212cd6bfd371', 'device': '83D5852A', 'hr_mean': 71.59, 'message': ''}",2021-06-08 08:56:24.587792+00:00,5
1295,83D5852A,c7c4ea7c-1b44-4080-85fc-212cd6bfd371,hrv,,69.2307692308,423.4383071948,71.59,success,success,"{'HRV': {'HRV_S': {'0': 263373.4031853156}, 'HRV_AI': {'0': 28.1961202567}, 'HRV_Ca': {'0': 0.8608165983}, 'HRV_Cd': {'0': 0.1391834017}, 'HRV_GI': {'0': 25.6}, 'HRV_HF': {'0': 0.0071698439}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 41.6666666667}, 'HRV_SI': {'0': 22.4385731779}, 'HRV_C1a': {'0': 0.964305633}, 'HRV_C1d': {'0': 0.035694367}, 'HRV_C2a': {'0': 0.728095011}, 'HRV_C2d': {'0': 0.271904989}, 'HRV_CSI': {'0': 0.9096400657}, 'HRV_CVI': {'0': 6.1275420255}, 'HRV_HFn': {'0': 0.9985392767}, 'HRV_HTI': {'0': 1.8571428571}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0}, 'HRV_PIP': {'0': 0.3846153846}, 'HRV_PSS': {'0': 0.6666666667}, 'HRV_SD1': {'0': 303.582149034}, 'HRV_SD2': {'0': 276.1504859838}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 1.04885e-05}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.3504262603}, 'HRV_CVNN': {'0': 0.1657481331}, 'HRV_CVSD': {'0': 0.1881304851}, 'HRV_IALS': {'0': 0.5}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -4.9378714005}, 'HRV_SD1a': {'0': 307.0978523355}, 'HRV_SD1d': {'0': 59.0839156701}, 'HRV_SD2a': {'0': 235.6350220921}, 'HRV_SD2d': {'0': 143.9973168942}, 'HRV_SDNN': {'0': 373.0607979597}, 'HRV_SDSD': {'0': 429.3299924583}, 'HRV_TINN': {'0': 1420}, 'HRV_IQRNN': {'0': 220}, 'HRV_MCVNN': {'0': 0.0628220339}, 'HRV_MadNN': {'0': 148.26}, 'HRV_RMSSD': {'0': 423.4383071948}, 'HRV_SDNNa': {'0': 273.7087453348}, 'HRV_SDNNd': {'0': 110.0593847967}, 'HRV_pNN20': {'0': 84.6153846154}, 'HRV_pNN50': {'0': 69.2307692308}, 'HRV_MeanNN': {'0': 2250.7692307692}, 'HRV_SD1SD2': {'0': 1.0993359217}, 'HRV_SampEn': {'0': 1.7917594692}, 'HRV_MedianNN': {'0': 2360}, 'HRV_CSI_Modified': {'0': 1004.7901848213}}, 'mode': 'hrv', 'uuid': 'c7c4ea7c-1b44-4080-85fc-212cd6bfd371', 'device': '83D5852A', 'hr_mean': 71.59, 'message': ''}",2021-06-08 08:56:25.669389+00:00,6
1296,83D5852A,c7c4ea7c-1b44-4080-85fc-212cd6bfd371,hrv,,23.0769230769,56.2731433871,68.85,success,success,"{'HRV': {'HRV_S': {'0': 13973.47329769}, 'HRV_AI': {'0': 34.1336388586}, 'HRV_Ca': {'0': 0.8123547959}, 'HRV_Cd': {'0': 0.1876452041}, 'HRV_GI': {'0': 34.7826086957}, 'HRV_HF': {'0': 0.0009520601}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 55.5555555556}, 'HRV_SI': {'0': 35.4164152317}, 'HRV_C1a': {'0': 0.7052631579}, 'HRV_C1d': {'0': 0.2947368421}, 'HRV_C2a': {'0': 0.8278104823}, 'HRV_C2d': {'0': 0.1721895177}, 'HRV_CSI': {'0': 2.6907520611}, 'HRV_CVI': {'0': 4.8522744793}, 'HRV_HFn': {'0': 0.9995593566}, 'HRV_HTI': {'0': 1.625}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.5}, 'HRV_PIP': {'0': 0.5384615385}, 'HRV_PSS': {'0': 0.8333333333}, 'HRV_SD1': {'0': 40.6574753647}, 'HRV_SD2': {'0': 109.3991856377}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 4.197e-07}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.2595622133}, 'HRV_CVNN': {'0': 0.0388453725}, 'HRV_CVSD': {'0': 0.0243850288}, 'HRV_IALS': {'0': 0.6666666667}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -6.956882363}, 'HRV_SD1a': {'0': 34.9024614917}, 'HRV_SD1d': {'0': 22.5630429927}, 'HRV_SD2a': {'0': 99.5358546637}, 'HRV_SD2d': {'0': 45.3959850047}, 'HRV_SDNN': {'0': 89.6431672572}, 'HRV_SDSD': {'0': 57.4983530726}, 'HRV_TINN': {'0': 260}, 'HRV_IQRNN': {'0': 120}, 'HRV_MCVNN': {'0': 0.013120354}, 'HRV_MadNN': {'0': 29.652}, 'HRV_RMSSD': {'0': 56.2731433871}, 'HRV_SDNNa': {'0': 74.5840739763}, 'HRV_SDNNd': {'0': 35.8461041372}, 'HRV_pNN20': {'0': 30.7692307692}, 'HRV_pNN50': {'0': 23.0769230769}, 'HRV_MeanNN': {'0': 2307.6923076923}, 'HRV_SD1SD2': {'0': 0.3716433091}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 2260}, 'HRV_CSI_Modified': {'0': 1177.4643369594}}, 'mode': 'hrv', 'uuid': 'c7c4ea7c-1b44-4080-85fc-212cd6bfd371', 'device': '83D5852A', 'hr_mean': 68.85, 'message': ''}",2021-06-08 08:56:35.393693+00:00,7
1297,83D5852A,c7c4ea7c-1b44-4080-85fc-212cd6bfd371,hrv,,53.8461538462,64.5497224368,70.4,success,success,"{'HRV': {'HRV_S': {'0': 14504.9482775944}, 'HRV_AI': {'0': 28.5161895483}, 'HRV_Ca': {'0': 0.8142671449}, 'HRV_Cd': {'0': 0.1857328551}, 'HRV_GI': {'0': 28.5714285714}, 'HRV_HF': {'0': 0.0023144032}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 72.7272727273}, 'HRV_SI': {'0': 28.6160266972}, 'HRV_C1a': {'0': 0.696}, 'HRV_C1d': {'0': 0.304}, 'HRV_C2a': {'0': 0.8386253375}, 'HRV_C2d': {'0': 0.1613746625}, 'HRV_CSI': {'0': 2.3900118959}, 'HRV_CVI': {'0': 4.8684862945}, 'HRV_HFn': {'0': 0.9992592721}, 'HRV_HTI': {'0': 4.3333333333}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0}, 'HRV_PIP': {'0': 0.3076923077}, 'HRV_PSS': {'0': 0.25}, 'HRV_SD1': {'0': 43.9524536496}, 'HRV_SD2': {'0': 105.0468870783}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 1.7156e-06}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.087011377}, 'HRV_CVNN': {'0': 0.0407616033}, 'HRV_CVSD': {'0': 0.0294644098}, 'HRV_IALS': {'0': 0.3636363636}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -6.0686034253}, 'HRV_SD1a': {'0': 39.7720779168}, 'HRV_SD1d': {'0': 26.2851496269}, 'HRV_SD2a': {'0': 96.1982512074}, 'HRV_SD2d': {'0': 42.1988737942}, 'HRV_SDNN': {'0': 89.2992663708}, 'HRV_SDSD': {'0': 62.1581560508}, 'HRV_TINN': {'0': 300}, 'HRV_IQRNN': {'0': 140}, 'HRV_MCVNN': {'0': 0.0539127273}, 'HRV_MadNN': {'0': 118.608}, 'HRV_RMSSD': {'0': 64.5497224368}, 'HRV_SDNNa': {'0': 73.606798997}, 'HRV_SDNNd': {'0': 35.1543314572}, 'HRV_pNN20': {'0': 84.6153846154}, 'HRV_pNN50': {'0': 53.8461538462}, 'HRV_MeanNN': {'0': 2190.7692307692}, 'HRV_SD1SD2': {'0': 0.4184079593}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 2200}, 'HRV_CSI_Modified': {'0': 1004.2532389957}}, 'mode': 'hrv', 'uuid': 'c7c4ea7c-1b44-4080-85fc-212cd6bfd371', 'device': '83D5852A', 'hr_mean': 70.4, 'message': ''}",2021-06-08 08:56:47.252165+00:00,8
1298,83D5852A,c7c4ea7c-1b44-4080-85fc-212cd6bfd371,hrv,,42.8571428571,266.2560941881,74.33,success,success,"{'HRV': {'HRV_S': {'0': 122094.2625945132}, 'HRV_AI': {'0': 22.8131362678}, 'HRV_Ca': {'0': 0.9390617032}, 'HRV_Cd': {'0': 0.0609382968}, 'HRV_GI': {'0': 20.2702702703}, 'HRV_HF': {'0': 0.0051457112}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 50}, 'HRV_SI': {'0': 17.5759121575}, 'HRV_C1a': {'0': 0.9761284722}, 'HRV_C1d': {'0': 0.0238715278}, 'HRV_C2a': {'0': 0.9052134146}, 'HRV_C2d': {'0': 0.0947865854}, 'HRV_CSI': {'0': 1.0820164352}, 'HRV_CVI': {'0': 5.7936653662}, 'HRV_HFn': {'0': 0.9977904866}, 'HRV_HTI': {'0': 2.8}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.3333333333}, 'HRV_PIP': {'0': 0.7142857143}, 'HRV_PSS': {'0': 1}, 'HRV_SD1': {'0': 189.5203121514}, 'HRV_SD2': {'0': 205.0640925449}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 1.13947e-05}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.6926486089}, 'HRV_CVNN': {'0': 0.1219093758}, 'HRV_CVSD': {'0': 0.1244187356}, 'HRV_IALS': {'0': 0.8}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -5.2695916953}, 'HRV_SD1a': {'0': 193.6061293796}, 'HRV_SD1d': {'0': 30.276503541}, 'HRV_SD2a': {'0': 195.1035228164}, 'HRV_SD2d': {'0': 63.1339642023}, 'HRV_SDNN': {'0': 260.8860641382}, 'HRV_SDSD': {'0': 268.0221957896}, 'HRV_TINN': {'0': 1060}, 'HRV_IQRNN': {'0': 100}, 'HRV_MCVNN': {'0': 0.0404345455}, 'HRV_MadNN': {'0': 88.956}, 'HRV_RMSSD': {'0': 266.2560941881}, 'HRV_SDNNa': {'0': 194.3562681633}, 'HRV_SDNNd': {'0': 49.5104236629}, 'HRV_pNN20': {'0': 64.2857142857}, 'HRV_pNN50': {'0': 42.8571428571}, 'HRV_MeanNN': {'0': 2140}, 'HRV_SD1SD2': {'0': 0.9242003795}, 'HRV_SampEn': {'0': None}, 'HRV_MedianNN': {'0': 2200}, 'HRV_CSI_Modified': {'0': 887.5308735815}}, 'mode': 'hrv', 'uuid': 'c7c4ea7c-1b44-4080-85fc-212cd6bfd371', 'device': '83D5852A', 'hr_mean': 74.33, 'message': ''}",2021-06-08 08:56:58.942041+00:00,9
1299,83D5852A,c7c4ea7c-1b44-4080-85fc-212cd6bfd371,hrv,,35.7142857143,417.2068293563,73.02,success,success,"{'HRV': {'HRV_S': {'0': 452318.8550437709}, 'HRV_AI': {'0': 9.8175981508}, 'HRV_Ca': {'0': 0.9271354334}, 'HRV_Cd': {'0': 0.0728645666}, 'HRV_GI': {'0': 6.9565217391}, 'HRV_HF': {'0': 0.007965074}, 'HRV_LF': {'0': None}, 'HRV_PI': {'0': 60}, 'HRV_SI': {'0': 4.270553527}, 'HRV_C1a': {'0': 0.9961110129}, 'HRV_C1d': {'0': 0.0038889871}, 'HRV_C2a': {'0': 0.9014989705}, 'HRV_C2d': {'0': 0.0985010295}, 'HRV_CSI': {'0': 1.7618842069}, 'HRV_CVI': {'0': 6.3624148018}, 'HRV_HFn': {'0': 0.9991012206}, 'HRV_HTI': {'0': 2.3333333333}, 'HRV_LFn': {'0': None}, 'HRV_PAS': {'0': 0.3333333333}, 'HRV_PIP': {'0': 0.5714285714}, 'HRV_PSS': {'0': 1}, 'HRV_SD1': {'0': 285.8635141426}, 'HRV_SD2': {'0': 503.6584109015}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 7.1653e-06}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.4233468621}, 'HRV_CVNN': {'0': 0.2555939647}, 'HRV_CVSD': {'0': 0.1989405862}, 'HRV_IALS': {'0': 0.6}, 'HRV_LFHF': {'0': None}, 'HRV_LnHF': {'0': -4.8326890473}, 'HRV_SD1a': {'0': 306.4582625198}, 'HRV_SD1d': {'0': 19.1485421551}, 'HRV_SD2a': {'0': 478.2100604681}, 'HRV_SD2d': {'0': 158.0725559319}, 'HRV_SDNN': {'0': 536.0170572979}, 'HRV_SDSD': {'0': 404.2720586881}, 'HRV_TINN': {'0': 2080}, 'HRV_IQRNN': {'0': 150}, 'HRV_MCVNN': {'0': 0.0656017699}, 'HRV_MadNN': {'0': 148.26}, 'HRV_RMSSD': {'0': 417.2068293563}, 'HRV_SDNNa': {'0': 401.6226640764}, 'HRV_SDNNd': {'0': 112.5912954129}, 'HRV_pNN20': {'0': 50}, 'HRV_pNN50': {'0': 35.7142857143}, 'HRV_MeanNN': {'0': 2097.1428571429}, 'HRV_SD1SD2': {'0': 0.5675741891}, 'HRV_SampEn': {'0': 0.8109302162}, 'HRV_MedianNN': {'0': 2260}, 'HRV_CSI_Modified': {'0': 3549.5511993918}}, 'mode': 'hrv', 'uuid': 'c7c4ea7c-1b44-4080-85fc-212cd6bfd371', 'device': '83D5852A', 'hr_mean': 73.02, 'message': ''}",2021-06-08 08:57:11.114781+00:00,10
